title,comment,label_id
PUBG 그저 게임실황,그래서 롭엔언? 1빠군 껄,0
다소미 20190712 게임 실황 배그가 된다니 실화냐,16 00 엎드려 있어,0
스팀게임 Shepherd of Light 무료 힐링게임 FULL버전,"게임 빛의 양치기 나의아들아,나는아주 긴 여행을 떠날거다.내가 가있는동안 양들을 돌봐줘라. 안녕,아들아.내가 너에게 맡긴 양들을 잃어버린것을 봤다.너는 그들 늑대들 이 어둠에의해 데려가기전에 잃어버린 양을 되찾아야만한다. 가려서안보이지만 나는 땡땡을 통해 안내를 해줄수있다.하지만,너는 진실된 양치기가 되기위해 그들을 찾아야만한다.행운을 빈다,아들아.당신은 늑대의 어둠을 제압할수없슴돠.늑대들은 당신의 양에서 나오는 빛을 두려워해요.늑대들보다 더많은 양떼가있으면 넘어갈수있슴돠.잘했다,아들아.너는 농장에서 집으로돌아갈 방법을 찾아야된다.이곳은 어린양들이 있는 초원이다.숫양들은 새로운 통로들이 나타나게 도와주고 당신과함께 여행을 할것임돠.나의아들아,이것이 초원에서 잃어버린것중하나인 폭풍양이다.폭풍숫양은 가까이에 있슴돠.그 폭풍양 과함께 환자가될수도있고 그는 당신의여행에 도움이될수있슴돠.폭풍양의 빛은 어둠을 격퇴하기에 충분히 세지않슴돠.그 폭풍양 은 늑대를 지나가 동행하기위해 빛양이 필요함돠.폭풍양을 통제하기위해 당신의 지팡이에서 파란빛을 사용하셈!이 망가진길은 폭풍양으로 열수있슴돠.불양을 구조하기위해선 그들 빛양,폭풍양 과함께 도전을 이겨내야함돠. 가려서안보였지만예상 계속 나아가기위해 그 불양 의도움이 필요할것임돠.폭풍양의 빛은 다리를 만드는데 사용할수있슴돠.당신의 여행을 계속하기위해 아주깊은틈의 각사이공간에 한마리씩둬야함돠.불양은 매우휘발성이 강함돠.하지만 늑대들은 그들 불양 의 빛을 두려워하지않슴돠.그림자양은 가까이에있슴돠.그 그림자양 을 구출하기위해 통로를 클리어해야만함돠.기폭제횃불은 불양에 불을 붙임돠.불양은 장애물들을 클리어하기위해 불꽃의사슬들을 형성할수있슴돠.당신의 지팡이는 이제 오렌지빛을사용해 불양을 통제할수있슴돠.그림자 양은 오직한마리임돠.비록 그 그림자양 는 늑대들을 격퇴하지못할지도모름돠..그 그림자양 는 어둠아래를통해 움직일수있슴돠.그전에 골드양이 있슴돠.그림자양이 인도할수있슴돠.당신의지팡이는 이제 그림자양을 통제할수있슴돠. 그 그림자양 는 긴거리를 지날때 사용할수있슴돠.당신이필요할때 그 그림자양 는 언제나 다시돌아올수있을것임돠.잘했다,나의아들아.너는 아마이제 휴식을취하겠지.너는 나의믿음을 받을만한자격이있다는걸 증명했구나.난 너가자랑스럽다. the end 휴..해석 다했다리!!빼에에엑 게임이 은은하게 재미있네요 꼭 한번 해봐야겠어요 집중 하다가 깜짝 놀라는게 같이 놀라네요 힐링게임 나이따 오늘영상도 너무재밌고용 혹시 영어궁금하신분들은 아래에있고용! 풀영상도 다보는편이쥬",0
휘가람의 게임실황 오버쿡 Overcooked 1화 이게 뭐예요 살려주세요,"0 15 외톨이래요 엡베벱 베베베 같이하면 사이가 나빠지고,망하고 혼자 하면 망하고,잘하는법이 뭘까요?바로 사이좋은 사람과 같이하기?근데 이와중에 잘하시는 혼자서 하는것도 잘하시는!",0
루시아 게임실황 그림자 복도 2 다시 혼내준다!!,누가 누굴 혼내준다구 ? 근데 생각보다 꽤 멀리 왔네 .. ? 루시쟝 역시 할땐 하잖아,0
게밥TV 게임 실황 마치아 빌런 1화 악당이 되어 건물 경영하는 게임! 꿀잼! Gebab TV MachiaVillain,잘보고 가요!,0
공포 김무성 게임실황 1화 이블위딘,무성이형 담에 고인겜 프레디의 피자게가도 해줘 무성이형 페북에 형이 충고해달라해서 와봤어 편집을 좀 해보는거 어때 무성이형 워킹데드 해줘 무성이형 텐션올리자 유튜브는 한 8 12분 정도로 편집하는게 젤 좋은듯,0
게밥TV 게임 실황 로드의 심장 1화 섬세한 정성이 들어간 쯔꾸르 RPG 게임! Gebab TV Lord s Heart,너무 재밌어요 목소리 엄청 좋아욯 화이팅!!,0
토탈 워 워해머2 방랑자 나카이 게임 실황 스토리 정리 1부,이 귀쟁이의 말을 한번 귀쟁이어로 적어보겠습니다 귀귀귀귀귀귀귀귀귀궈귀귀귀귀귀귀귀귀귀귀귀귀귀귀귀귀귀귀귀귀귀귀귀귀귀귀귀귀귀귀 귀귀귀귀귀귀귀귀귀귀 귀귀귀귀귀 귀귀귀귀귀귀귀귀귀귀귀귀귀귀귀 귀귀귀귀귀 귀귀귀귀귀귀귀귀귀귀 귀귀귀귀귀 귀귀귀귀귀귀귀귀귀귀 귀귀귀귀귀 귀귀귀귀귀귀귀귀귀귀 귀귀귀귀귀 귀귀귀귀귀귀귀귀귀귀 귀귀귀귀귀 귀귀귀귀귀 벼락 안쓰는 빡빡이 마조히스트는 알고 있죠 정말 재밌게 봤습니다. 특히 보병으로 감싼건 아주 훌륭하고 속 시원 했습니다. 나카이는 진짜 크록시거 파티로 가야 승산 있던 데요 무조건 초반은 어느 정도 뻐기다 3티어 본진 올려서 크록파티 가요 환생왕 나카이..,0
UNITEM게임실황 마음의소리20 10챕터 보스전 클리어 영상,신종마왕 님은 해낼수잇어요 공토르님 마음의소리 방송도 올려주세요 나 저번에 님 투기장에서 봄 내가 2김,0
게밥TV 게임 실황 로스트 인 비보 3화 지하철은 진짜 너무 무섭잖아... 살려줘 Gebab TV Lost in Vivo,이딴거 하지말라고 무섭다고,0
풍운랑 히트맨5 HITMAN5 Absolution 잠입액션 게임실황 13화,랑하,0
풍운랑 히트맨5 HITMAN5 Absolution 잠입액션 게임실황 14화,랑하,0
풍운랑 히트맨5 HITMAN5 Absolution 잠입액션 게임실황 8화,랑하,0
TOMB RAIDER 툼레이더 게임 실황 8화 구출 받으려다 도로 구출해야하는 상황?! 조난된 조종사 구출하기,오 어제 오늘 영상 올리시는 주기가 짧아지신듯 바쁘신 와중에 편집까지 대단하십니다.,0
광고 협찬 황금 밸런스를 자랑하는 스팅레이 X 진짜 대박입니다 카트라이더 김택환,형 어느순간부터 넘버원 비제이 없앴네 그래도 언제나 우리 마음속의 넘버원이야 열심히 하는 모습 너무 보기 좋아! 앞으로도 좋은 컨텐츠 많이많이 하고 영상도 많이 올려줘! 7 36 어우야 .. 간zl.. 아 이거 또 땡기네.. 내맘속엔 언제나 택카니가 최고임 영상 맨날 찾아보는 중 옛날 영상보는데 방망이로 컴퓨터 모니터 신명나게 때리는거보고 개터짐 오늘 9대갈고 스팅레이뜸 기받아가세요 수정 진짜에요,0
