url,target,attitude
iL3GCEdtUYU,3,1
m6fFgFQp5ds,0,1
--jK-F7WJPE,3,2
S6lLRH8FT8U,3,2
1uzydR08uuA,3,2
CDeOez0ZVUM,1,0
kIVimE4JUHA,3,2
joAQWgOfmNA,1,1
4uYL-IENbik,0,1
xzagr45p7kU,1,0
Vq4Gv9PPAl4,3,2
tLkrnVAmtSQ,0,1
sEOaRgph5rg,3,1
ylJGEWTERB4,1,1
khunVySdWjo,3,2
eKe-XvwyqNs,3,1
RMgpW9Jb45I,1,1
iizBnE0qqPw,0,0
3Za6Sq8xVek,3,2
DVvRBmnm8S4,1,1
6SUHNpyBHQU,3,2
29L-DQHq3kc,1,1
zxb7iofikD0,0,1
ZICCDW8q32Q,3,2
Xre7P-M2cu8,1,1
UeOsAHjb4iQ,0,1
39KHRORhwmg,3,2
YE5lrnogOuc,3,1
CFFYk1Pe7bE,0,1
bQP2HVDxITA,1,0
-61eN7MX02E,3,2
8yhtmhKuZro,3,2
An5trztz0Hk,1,1
zoKdCF38zUA,1,1
rHxAdvEw2V8,0,0
ub_RsZHFumg,1,1
hANtB8YJjj8,1,1
B9WTDvatngg,3,2
4Y-o1KvFSwM,0,1
_6-8bvxZuac,0,3
8QY0H28hVKA,3,2
OEWj0TyZ-Z8,3,2
_J55NQRalQ0,3,1
Q4mjY68d_8w,0,1
VN9Yfl-WBN0,0,3
FEEMH8Ynbjs,3,0
XJJjy-1rGvU,0,1
HkKMYQ5Euf8,3,2
JL12leQ6GLY,0,1
FJjYtIdB4qs,3,2
xDdeFGh4cpY,3,1
_dbmpOFAl4c,3,2
qwziEJLdNS0,2,3
0WE0vW2l3IU,1,0
CdEy98UdrXk,0,1
3kjwDd-tCqY,0,1
psFijAJq3Fs,1,1
IiU2D2C0N8g,1,0
EjAQf9tr628,0,1
FYeU_xQ3cLg,3,2
KNJVKMrcda4,0,1
aV8kT_-YyWc,0,1
NvBBOzcR7eM,0,1
uc0coJYLhCc,3,2
S5GsTS49UV0,1,1
_P5ti--VMLQ,2,3
rR331kqT6VI,3,2
vijKxXorpGs,0,0
RNROi_1IqUQ,0,0
vDpZgDtDs8U,0,1
SemljJpSIRg,1,1
Mxlyobo0F78,1,0
deE13QL9g1g,1,1
RE9-7fK3TuE,0,0
ABYk0kxK8hg,0,0
ygLdNAgiNw0,3,1
WXF1TBezH8Q,1,0
cF0VhcI779k,3,2
xA4D-9jlmVo,0,1
Y-M3KKZnMMI,0,1
IVbHnrlhn1Y,3,1
day-jORFNDQ,3,2
60uHHt48Ruw,0,1
0KU-y9yEO7g,0,1
qXTppWGchz0,0,1
oRhRSjuv-d8,0,1
82r1izASPms,0,0
sWIN6vIyJ1s,1,1
JQl_7JUYrGA,3,2
sYqT6FQjAbg,1,1
EwITvlHAgkw,1,1
ZcxCBPpCPIc,3,2
D4umK_jOEYM,1,0
lrh9tqLgwEU,3,2
a_K5atpp7ik,0,1
2tjRJr5hC4Y,1,1
TA1qK4w0yE8,1,1
CyObaW2tSkw,1,0
gCTPdwM5OXI,3,2
6qSrvFsNelI,3,1
5iDiFzlT3gQ,0,1
nM7BRVW9hc4,0,1
aRUR7-yD9Qs,3,2
cm084UejE9s,1,1
GwpyD4TzA9Y,1,1
jN5-FLuILmY,3,2
YMD7f7lQjEg,1,1
_W7qQDHu4lE,1,1
Z0j2Bfgvom0,3,2
TuLVWSBOJi4,0,1
b-9_qjjhJso,3,2
qt16zvTojc4,0,1
9TvYN7DQ4SQ,1,0
z3KFsamDAek,0,1
EhF0e-E4uro,3,2
Bew4mk5pDOg,0,1
PuCTaja7dJc,0,0
nspQ2KJpgHk,1,1
dZX0jCQ-Woo,0,1
_QE-u83WJ4I,0,1
Nz_4WxwaQPQ,1,0
LXGUoAzNsIE,3,1
7R-btGb2RBU,0,1
UuyyefOpSNU,3,2
e-4Z8QszoQo,1,0
EHIT05Uotm8,1,1
t5alLGlQL0w,3,2
prLQ59QT7G8,1,0
ziHmZSX0zo8,1,1
tXqFbfRB3H8,1,1
a6FBG6JeKKM,1,1
4LTGodA3e4U,0,0
didL7c5hfvY,1,1
IXxnzkejxnM,1,1
2cs5MvSlkbc,3,2
-ndFHJN_x8U,3,2
aB6f5JNzYbk,2,1
srpKexPq4Qg,0,1
4RPwedjxEvE,3,1
0isIl3wT4ik,0,1
GDo9IwL4ol0,0,0
UcEMtwU5ntk,1,1
ww82yX42ooE,3,1
lxEDbNxuWVI,1,1
foBqOu2p0WM,0,1
8g6puubN6H0,3,2
I5UK-73ygEE,3,2
BEdg2s6UxKA,1,1
_YRcmmAWGjc,3,1
WmIOwieNtmg,1,1
qPZp0tr4sqc,3,0
lHf3noafkvk,3,2
zEc-RBvysUY,3,2
u8-uc7d4feU,3,2
lP0QhsCqmos,1,1
ZxRh5wkpMAk,0,0
6vyj6FRTRkY,3,2
uxPruB6cKzw,0,1
HDchemA2DlA,0,1
cQeLc5tPOKw,1,1
_4Bj6c0FfEw,3,2
YgKpJ1_nhp8,1,1
OTGe9r6D87U,0,1
Tqel1hdgcF0,0,0
Ud39c4J93YQ,3,2
XFHW8EmCmi0,1,1
xLL3Njsxs7Q,0,1
x6zRm5e8hPU,3,2
kHuDQWZctT4,1,1
v17lrgpFk_Y,0,0
Zf75AxFzDxI,3,2
EMWJR_PM-Qw,3,2
o19GqTLt8h4,1,1
-H4lmY-Q-4M,1,1
W3UraXa9XJU,0,1
M-kN_b5Z7LA,3,1
uFgQ4rulwPA,1,3
ELSE0T6uedU,1,1
2hU5SUhw7DA,3,2
-JXyxxNFVSw,1,1
3UEUR8qQ4_s,0,1
8hLQGl5Du-Q,2,1
SG5hA_GHItU,1,1
MnHwIg2PUA4,0,1
7rgsRE3JNWo,3,2
4iFMj8NIEdg,1,1
k36y5vEIz5I,3,1
