url,title,comment
ZzxErY2KPZw,이재명 라이브 실시간으로 만나는 제53회 국무회 현장,"이재명 라이브 실시간으로 만나는 제53회 국무회의 이재명 대통령님 작고 힘없는 약자와 서민을 먼저 생각해 주셔서 미워해 주시는 따뜻한 마음과 소중한 말씀 감사합니다. 감사합니다. 항상 건강하게하십시오. 가족 모두 응원합니다. 파이팅!!!입니다.|||정부의 한 시간은 5천백만 시간임을 알아야 한다. 고마워, 이재명 대통령!|||연임이 대답이다 연임이 대답이다|||최저임금의 말에 왜 울지? 짱!|||최저임금과 퇴직금 부분의 명확한 지시와 지적! 훌륭합니다! 공감합니다.|||국민이 함께 있어 이재명 대통령은 언제나 응원|||정말 정말 열심히 하고 있는 국무위원에게 고생하고 있습니다.|||우리 대통령님의 일의 모습만 봐도 든든하고 억울합니다.|||체험하지 않으면 모른다. 국가의 존재가|||역대 대통령 속에서 젤이 잘 어울리는 것 같습니다.|||빨리 알았는지, 칭찬하지만, 이렇게 잘 해줄거야.|||점점 더 흥미로운 국무회의!|||내가 태어난 이래 한국 공무원들은 이렇게 열심히 일하는 모습을 보고 있는 것 같네요. 호팅!|||우리 이재명 대통령|||역시 최고입니다 진짜 대한민국 지금은 이재명 대통령의 시간입니다|||우리 진짜 대통령 이재명 대통령, 오늘도 감사합니다|||정말 소중하고 멋지고 열정 가득한 대한민국의 보물 이재명 대통령님 한국 대한민국 정부를 올바른 길로 이끌어주셔서 매우 기쁩니다. 국민을 우주에서 보는 아름다운 눈, 마음을 가진 대통령님에 의해 국민이 행복하고 기뻐합니다. 매일 대통령님을 축복하고 기도합니다. 세계의 모든 정상도 우리의 대통령과 닮아 그런 마음으로 정치하면 각국에 평화와 사랑이 넘쳐납니다. 오늘도 대한민국 대한민국 파이팅!|||비정규직에 대한 대통령의 말에 눈물이 나옵니다.|||연임해 주었으면 한다. 내가 대한민국 국민인 것이 자랑스럽다.|||이런 국무회의를 생중계하는 나라가 이재명 보유국 대한민국에서도 가능하지 않은 어느 나라에서 할 수 있습니까? 감사합니다. 감사합니다. 투표권자로서 효능감 백배를 즐기고...|||아..우리 이재명 정부의 일|||울 대통령의 응원을 지지|||외국의 아군 한국요리 전혀 한국요리의 맛은 아니지만 그렇게 싸게 만든 음식을 한국요리로 판매하는 레스토랑이 있습니다.|||농민을 살리는 정책을 보는 대통령은 정말 유능|||매번 감심 이렇게 약자를 손에 넣는 지도자입니까? 세계 어느 곳에 놓아도 자랑스럽게 울고 있는 대통령이 되십시오."
yRhxCez5hXM,내가 작가의 선배임을 아십니까?,"맞습니다.|||부인의 품위 있고 따뜻하고 정감하면서도 격이 있습니다. 대한민국의 얼굴입니다. 감사합니다. 진심이 전해져서 행복합니다. 건강|||김혜경 부인이 최고|||어떻게 친절한가? 친화성. 사랑스러운|||우리 남편은 친절하고 귀엽고 최고의 여성입니다.|||부인은 어려운 사람을 조심하고 감동입니다.|||부인은 밝고 좋다.|||우리 남편은 햇살 자체에 부드럽고 친절한 성격에 센스까지 겸비하고 있습니다.|||내외의 사이에 왜 진심으로 국민을 취급하는지를 볼 때마다 감사합니다.|||반짝반짝 빛나는 우리 어머니. 천사들의 옆에 천사. 김혜경 부인. 목소리 너무 부드럽게 다감하십시오.|||사랑스러운 김혜경 부인의 국민에게 차별이 없는 모습을 좋아한다|||지금 대한민국인들 발달장애인이나 아니, 모두 사회에서 사용되고 있는 귀중한 존재이므로 길을 열 수 있도록 받아 주세요|||김혜경 부인의 굉장한 모멘트와 세심한 것을 보았을 때부터 미소가 지어졌습니다.|||아, 정은혜 작가도 김혜경 부인도 너무 사랑|||러블리해경 부인 주위까지 밝게 해주세요.|||응원하고 있습니다.|||ぉㅉ 예쁘다 김혜경 부인은 자랑스럽다. 감사합니다.|||나는 매우 사랑스럽다.|||태어났습니다.|||이재명은 하는 유일한 이재명|||나는 또한 발달 장애를 가진 여자를 키우고 있습니다. 은혜씨처럼 자신이 좋아하는 일을 하면서 행복하게 살아가는 장애인이 많아지길 바래요. 내 딸도 은혜 씨처럼 잘 성장했으면 좋겠네요.|||부인은 매우 사랑 스럽습니다.|||우는 여자의 천사처럼|||애교 붐붐 김, 혜, 경. 영부인 언제나 낮은 자세가 생활화되어 자연스럽네요 사람을 사랑하는 것을 알고 섬기는 분.|||예쁘네요 김혜경"
VtlCvoHnhV8,"이재명 라이브 충남의 마음을 듣는 첨단산업의 심장, 충남의 미래를 설계한다","국가 밸런스의 발전이 반드시 성립되기를 바랍니다. 대통령의 건강|||이재명 대통령은 굉장히 멋지다 파이팅입니다.|||이재명 대통령은 매우 멋지고 최고입니다.|||이재명 대통령은 언제나 응원하고 있습니다.|||위대한 대통령 대통령 이재명 대통령은 존경|||타운홀 회의시 국민의 의견을 들을 때 국민에게 지명할 수 있습니다. 표출하고 싶은 키워드를 가슴 박에 가지고 있으면 사회자나 대통령님이 지명되어 필수 의견을 더 들을 수 있어 불필요한 사항을 줄일 수 있는 것 같습니다.|||역대 최고의 우는 대통령을 잘 해 주셔서 자랑스럽게 생각합니다.|||정성호 법무장관 오늘도 좋은 하루 보내세요.|||대통령. 고생하고 있습니다. 언제나 응원하고 있습니다. 건강을 복용|||우리 대통령은 매우 자랑스럽습니다.|||강훈식 비서실장 오늘도 좋은 하루가 될 때마다 현명하고 현명하게 승리해 주세요|||이재명 대통령이 자랑스럽게 감사합니다|||대한민국의 자랑스러운 이재명 대통령은 존경합니다.|||이 잼의 보좌관이 오늘도 좋은 하루를 보내고 싶다는 것을 현명하게 승리하기를 바랍니다.|||국가보안법을 폐지하시겠습니까?|||안녕하세요 건강을 꼭 노력해 주세요. 이 잼의 건강은 대한민국의 미래|||고마워, 자랑스럽게 대통령|||이은주 의원, 오늘도 좋은 하루를 보내세요.|||최동석 인사처장 오늘도 좋은 하루 보내세요.|||리더로서 가장 힘든 것을 듣는 것으로, 가장 간단한 것이 말하고 훈계합니다만, 전국을 둘러싸고 듣는 것도 대단한 자세라고 생각합니다.|||소중한 우리의 이재명 대통령님, 제발 건강의 기분에도 천재명인 길이재명을 선택한 국민으로 명령합니다.|||항상 응원합니다!|||천재명 이재명 대통령으로 임명해야 합니다.|||사랑하는 대통령에 시달리십시오. 추운 날씨 감기에 조심하십시오.|||이재경은 오늘도 좋은 하루를 보내고 있습니다."
UTa-2jhS9fY,LIVE 3 구현 및 수석 비서관 대통령실 6개월 성과 간담회,"대한민국 유능한 이재명 대통령님 존경합니다|||너무 든든하다|||좋습니다|||고맙소|||대한민국의 국운이 꽃피고 있습니다!!!|||이. 재명 대통령님 고맙습니다.!!!|||응원합니다|||너무 잘하고 잘하셨어요|||샬롬 세계만방평화정부대한민국 평화|||응원합니다|||서민 햇사른 이자가 15 너무 합니다! 대통령님 서민들 부터 도와 주세요|||너무 든든합니다 아직도 내란중이지만 이잼통님이 계시니까 큰 걱정을 조금은 내려놓아집니다 다만 우리 대통령님 건강을 더 걱정하고 있습니다 ! 감사하고 고맙고 눈물겹게 존경합니다|||와 감사합니다!|||강훈식 일하는 모습 카리스마와 속도 센스 있는것 같아요|||!!!!!!|||지금 정부가 잘하는건 투명성에 있는 것 같다. 역대 그 어떤 정부보다 투명하다는건 장점인 것 같다. 그리고 국무회의를 보면 알겠지만 부처간의 협력이 잘 되는 것도 좋다.|||우리 시민들이 지치지 맙시다 저들의 악행은 끝이 없습니다 지치면 저들에게 넘어갑니다|||짝짝짝짝짝짝짝!!!!!!|||민주당이 계속해서 집권해야 세계5대강국으로 !|||부디 제발 언론사 기자분들도 좀더 용기있고 패기있는 기자싀 목소리를 내주시길 바랍니다 언론도 하나가되어 강대한 대한민국이 되는데 협조해 주길 간절히 바래봅니다|||모든 참모진 멋지십니다!!!|||우리 이재명 정권 수석님들 감사합니다|||이재명 대통령 정부 응원합니다|||역시 이재명대통령과 함께하는 3실장님 최고입니다|||이렇게 하나하나 국민들에게 다 보고하는 정부 처음이에요.. 투명하게 운영하려고 노력하시는 모습이 감동스럼기도 하고 짠하기도 합니다. 지난 6개월 너무 고생많으셨습니다. 4년 6개월밖에 안남았다니.... 대통령님을 비롯한 장관님들, 수석님들, 비서관님들 등등 대통령실 모든 관계자분들께 정말 감사드립니다. 건강 잘 챙기시고 앞으로도 잘 부탁드립니다"
yPk_FLAvBFw,"이재명 LIVE K 반도체, AI 강국 열기","대통령을 사랑합니다 응원합니다.|||이런 것을 보여야 일반 국민도 정부 정책에 협력할 수 있다. 아주 좋습니다.|||드디어 세상이 돌아온다|||울 대통령의 논쟁을 설명할 때마다 힘이|||하루가 빨리 가는 이유를 보면, 이재명 대통령님의 행보를 함께 실시간으로 공유하는 이유가 있네요.|||대한민국이 이재명 대통령님 정부가 잘 발전해 나가기를 기도합니다. 냄비 파이팅! 파이팅!|||빛나는 잼|||절반은 모르지만 재미 있습니다.|||고생하고 있습니다.|||정말 천재와 달리는 움직이는 대통령은 훌륭합니다.|||이재명 대통령이 있습니다. 그래도 힘이 있습니다. 대통령의 존경과 사랑|||가슴이 떠오른다. 이재명 대통령과 불장, 차관에게 감사드립니다. 대한민국과 기업가의 무관심한 발전을 기원합니다.|||이재명 대통령은 응원|||차량 반도체 문제도 군대나 정부 공공기관에서 사용하는 차에 탑재해 주는 것도 좋은 것 같습니다|||확실히 사회자를 전문 아나운서 쪽이 오므로 퀼이 좋아지네요 이재명 정부 응원해 지지합니다|||5년은 너무 짧습니다. 반드시 연임한 후 이 나라를 업그레이드해야 합니다.|||우리 톤|||사랑 해요.|||우리의 유능한 대통령은 존경하고 사랑하며 언제 어디서나 응원합니다.|||하루 최근, 왜 이런 경제 관련 논의가 재미있는가 wwwwww|||신앙 설렘 이잼 정부|||세종대왕..정조대왕..그리고, 백마를 타 온 초인재명 대왕 초일류 선도 국가 대한민국을 위해 연임 가즈아!!|||고맙습니다. 항상 응원합니다.|||솔렌다 한국 정부의 각 인재들의 뜨거운 토론 희망과 자부심이 불다|||미국 대만을 이길 수 있는 반도체 국가의 탄생이 이재명 정부에서 이루어지면 최고입니다. 일반 국민은 AI를 아직 적극적으로 많이 이용하고 있지 않기 때문에 미래가 어떨지 궁금합니다. 국민소득도 오르고 생활이 질적으로 상향이 되면 다행입니다. 대통령의 대통령의 권한을 백프로 사용합시다."
FaB7QDm3wz8,"이재명 LIVE 국토공간대전환, 대한민국을 널리 사용합니다! 지방시대위원회 보고회","항상 응원합니다. 대통령은 괜찮습니다.|||대통령 파이팅을 응원하는 제안이 있습니다|||대한민국 전세계에서 사랑받은 최고의 훌륭한 대통령 이재명 대통령님 마니마니 사랑합니다. 추운 기후에 추위에주의하십시오.|||대한민국 5극 3특체제|||대통령님. 상처를 입지 않고 항상 신경이 쓰인다. 당원입니다. 건강하다|||대통령님의 국민이 응원, 지지합니다. 감사합니다.|||대통령 덕분에 대한민국이 발전하는 것을 느낍니다! 지난 최고의 이재명 대통령|||A급 옆에 A급이 헤르페스 된 것을 잘 하는 정부를 좋아합니다.|||점프 정부에서 지방이 얼마나 성장하는지 정말 기대되고 있어 청와대에서 크리스마스를 보내는데 크리스마스 영상도 만들어 주시겠습니까? 아! 시계는 어디에 살고 있습니까?|||결국 지속 가능한 새로운 산업 생태계를 만드는 방법이 있다고 생각합니다. 지속 가능하기 위해서는 자연 기반 솔루션, 생태적 접근 방식으로 접근하는 방법에 대한 교육이 필요하다고 생각합니다. 이를 바탕으로 한국형 자원의 발굴과 융합을 촉진해야 한다고 생각합니다. 청년에게 현재의 음식을 넘어 청년이 어떻게 미래를 이끌 수 있는가에 대한 인식을 먼저 심어야 한다고 생각합니다. 이것은 COP 시스템에서 그 대답을 찾을 수 있습니다. 한국의 자연환경이 가지는 토양, 식물, 미생물, 문화 등을 융합하여 결합하여 생태적 한국형 10차 산업 생태계를 만들어 나가야 한다고 생각합니다. 1 2 3 4 10|||우리 대통령에게 감사드립니다! 항상 건강을 조심하십시오! 아, 정말로 쿠팡의 사태는 심각한 형태입니다만, 카드를 비대면 발급을 대면 발급으로 고치면 데미지가 적어지고 싶네요 건강하게 해 주세요!|||이재명 대통령을 위해 무능하고 무책임한 사람들을 보고 있지만 국민을 위한 것이 아닌 자신을 위한 사기정치질은 더 이상 부족하게 해야 한다.|||든든하다|||이렇게 공개된 투명한 정부를 내 손으로 뽑았다.|||이런 논의를 볼 수있어서 매우 좋습니다. 발전하는 대한민국이 기대됩니다!|||수도권의 집중을 피해야합니다. 지방을 크게 개발과 투자를 통해 젊은이들이 생업에 종사할 수 있도록 발전시켜 수도권 부동산 정책도 계속 발굴하고 아파트 가격을 반토막은 만들어야 합니다.|||우리 대통령은 매우 잘 선택되었습니다.|||국민에게 항상 알려주셔서 감사합니다. 이재명 정부는 투명하고 좋다.|||이재명|||대통령과 함께라면 대한민국은 초강대국, 초경제대국이 꿈이 아니라 가까워지는 현실이라고 믿습니다!|||대한민국을 널리 사용한다는 말이 설레네요!|||K민주주의를 이끄는 이재명의 리더십이 대한민국을 넘어 세계로 널리 확산|||나라를 위해 많은 일을하십시오.|||대한민국을 널리 사용합니다. 말씀 감사합니다.|||대통령의 응원"
ZxRh5wkpMAk,왜 최저임금을 주는가?,"이재명 대통령은 언제나 함께 있습니다 세계의 굉장한 대한민국! 세계의 국민 대한민국!!!!!세계의 대통령이 재명입니다!!!!사랑합니다 열심히 해 주세요|||정부는 선도적인 역할을 해야 합니다! 고양이... 최고|||이재명 대통령의 발상은 천재적이네! 발상의 전환이란 이것 정도는 안된다!|||대한민국의 위대한 지도자 천재 이재명 대통령, 저는 자랑스럽습니다.|||우리의 민족 사상 최고의 성격입니다. 응원하고 있습니다|||역시. 모든 방면에 막히지 않는 천재 대통령님.|||사랑해줘서 고마워 울 대통령ㅡ 고마워.|||계약자 비정규직 최저시급만을 주면서 세금을 모두 떼어 놓습니다. 대통령의 급여 상대는 죄가 아닌가? 제대로 세금을 지불하고 사는 급료 상대를 살려주세요. 부탁드립니다.|||진정한 행정가 이재명 대통령 장기집권|||아주 맞는 말|||지상 최대의 멋의 끝판왕|||국가가 국민의 껍질을 벗겨 먹은 세월이 현존하는 시간.....빨리 잡아야 합니다. 사회대개혁 대통령 이재명|||지지율 80 프로에 가자!|||어쨌든 특별한 모직 대통령. 감동의 연속입니다. 그냥 감명할 뿐입니다.|||대통령의 말은 매우 공감하고 있다.|||언제나 정도의 길을 찾고 계신 분. 존경합니다.|||공감|||가짜가 파는 세계! 가짜가 너무 많습니다. 이재명 대통령님 잘 해나가기를 기도합니다. 냄비 파이팅! 파이팅!|||맞아|||맞습니다. 기술직의 효율적인 변경이 필요합니다. 한국만이 미용기술 직대적인 우대가 적습니다. 표준기술 직대한 변화와 수술에 대한 1명의 인원수가 변화가 필요합니다. 대한민국뿐입니다. 변경이 필요합니다.|||나도 정말 신경이 쓰였다.|||오늘도 열일 지지해 응원합니다 제안 사항 있습니다|||대통령은 최고입니다 사랑합니다|||축복|||진짜 민감성이 무엇인지 젤을 아는 사람 이상에게 감사드립니다."
HdkxmpeZMbw,김치 60kg? 이것은 기본입니다.,"우리 남편, 우리 김혜경,|||부인 김장김치를 보면 수유.|||뭐야|||고맙습니다. 항상 응원합니다.|||부인의 모임, 화기애애, 음식문화도 홍보되어 나라가 이제 격을 정돈해 제대로 돌아가고 있는 것 같습니다|||김혜경 부인은 너무 귀엽다.|||우장춘 박사님께 감사드립니다 박사 덕분에 감사드립니다|||감사합니다! 지금 진짜 한국입니다!|||세상이 김치에 푹 빠지기를 기대합니다 ㅎㅎ|||나는 최고로 매우 아름답습니다. 항상 응원합니다|||현재 그대로 자연스러운 분위기|||부인 김치 홍보 대사 매우 친절하고 따뜻하게 잘하고 있군요.|||고마워, 김혜경, 고마워.|||부인은 매우 잘합니다! 언제나 이프 부인은 잘 보고 있습니다. 자랑스럽습니다.|||최선을 다하십시오.|||정말 달콤하고 품격있다!|||해외에서 김치데이가 있는 것은 놀라움입니다.|||김혜경 부인의 부부다움. K김치 외교|||응원 파이팅|||맑음|||이제 나라가 제대로 대통령인 다운나라|||아니, 이재명 대통령의 충성! 울 부인은 왜 이렇게 예쁜 봄의 느낌입니까?|||자랑스러운 우리 아내|||말씀도 매우 깨끗하게 능숙하게 상대를 잘 배려하는 것이 느껴집니다.|||부인"
5cxgvDLuGMo,정식 버전 민주 평통과 함께하는 평화 공존과 공동 성장의 미래,"그냥 눈물이 나온다. 미소는 우리 대통령에 대한 존경을 느낍니다. 우리 대통령의 국민 소원처럼 항상 건강해야 합니다. 감사합니다.|||이재명 대통령 국민주권 정부를 믿고 살아요.|||이재명 대통령은 모든 정책활동이 완벽하다.|||대통령 안팎의 국민에게 빛에 혁명적으로 이루었던 만큼 우리의 가슴을 확실히 희망과 꿈을 안겨주었습니다.|||ㅜㅜㅜ 이혜찬 대표. 건강하고 꿈에 그린 대한민국을 함께 꼭 봐야 합니다! 울 대통령만큼 존경합니다.|||정말 멋진 우리 대통령에게 감사드립니다.|||함께 있기 때문에 막내 아들 바이브 민주당 진짜 성인의 이해찬부수장 밖에 없다. 오랫동안 괜찮습니다.|||이재명 대통령은 든든하다. 대통령 다움|||이 아름다운 감동처럼 따뜻한 평화를 누가 막을 수 있습니까? 내란이라는 말에 용서해서는 안 된다.|||이재명 대통령에게 감사드립니다. 할 일이 너무 많아 노후의 머리가 내려갑니다. 우리 대통령은 매우 멋지다. 싸움|||해창 대표는 건강해야 한다. 울잼프 옆에 오랫동안 오세요.|||이혜창 총리. 집에서 기본 운동을 조금만 해주세요. 오랫동안 괜찮아!|||6개월 만에 평화통일 공동자문회 이재명 의장, 이재명 수석 부의장, 최상병 사건 때 이재명 대통령 이혜창 부의장|||대통령을 쉬고 일하라 건강이 걱정|||대통령을 잘하고 파이팅|||너무 감동해서 감시합니다. 내 대통령|||우리 이재명 대통령은 항상 감사합니다|||존경하는 민주당의 진짜 성인이 이해한 고문을 만났습니다.|||이재명 tv|||이혜창 대표 길고 오랫동안 오세요.|||대통령의 국민만 마시지 마십시오.|||진짜 대한민국 우리의 대통령, 민주주의,|||연령 10년만 해보자|||건강해야 하는 이재명 대통령|||대통령의 이해찬부의장을 응원해 주셔서 감사합니다."
L5fDEzZiDHk,앞으로 오세요.,"지금은 이재명 대통령 시대! 든든하다. 응원합니다!|||대통령이 계셨기 때문에 열심히 노력합니다. 감사합니다.|||균형의 발전이 중요할 때 우리 민주당의 이재명 대통령으로 오세요.|||적극적으로 지원 우리의 대통령은 사랑|||이재명 대통령은 잘 됐다.|||당신은 말을 합니다만, 한국 5극 3 특별 밸런스의 발전을 위해서 태어난 사람이 아닐까 생각합니다.|||평형 발전하는 잘 사는 나라 대한민국을 위한 이재명 대통령님의 깊은 고민과 이해와 노력 실천하는 신뢰를 지지하고 응원합니다|||고마워요|||지역 발전을 부탁드립니다.|||응원합니다. 최선을 다하십시오.|||이재명 대통령을 사랑|||대통령님의 유산 취득세 개편 중 내년에 반드시 통과할 수 있도록 해주세요.|||실질적 정책과 적극적인 행정으로 성과를 만드는 이재명 대통령을 응원하고 지지합니다.|||좋은 하루가 되고 싶어요.|||전혀 사랑을 전해 줍니다.|||우리 대통령 이잠은 존중하고 사랑합니다!|||대한민국을 응원합니다.|||이재명 대통령과 함께 사는 생활이 행복 자체|||성장 회복 균형 발전|||지혜의 화신 이 잼|||최선을 다하십시오.|||나라는 영양소를 균등하게 섭취해야 하는 우리 몸인 것 같습니다. 수도권만이 발전하면 편식으로 배가 줄어들 것 같습니다. 국가의 지속가능한 발전을 위해 지방의 균형발전은 반드시 이루어져야 하는 필수 필수 요소입니다.|||응원합니다|||이재명 대통령이 최고인 응원|||소중한 우리의 이재명 대통령님, 제발 건강의 기분에도 천재명인 길이재명을 선택한 국민으로 명령합니다."
