url,title,comment,label
yRhxCez5hXM,제가 작가님 선배인 거 아시죠?,"그렇죠, 저는 같은 꿈에서 영부인과 사랑에 빠졌습니다. 아워블루스 꼭 봐야겠어요. 그림 전시회가 있다면 그곳에 가고 싶습니다.|||그 여성은 위엄 있고, 따뜻하고, 친절하고, 품격이 있습니다. 이것이 대한민국의 얼굴이다. 고마워요, 제 진심이 전해져서 기뻐요. 몸 조심하세요|||애정이 넘치는 우리 김혜경 여사님이 최곱입니다.|||그는 어떻게 그렇게 다정할 수 있나요? 우정. 사랑스러운|||우리 아줌마는 친절하고 귀엽고 최고의 아줌마예요.|||부인, 어려운 사람들을 위한 당신의 배려에 감동받았습니다....|||부인, 당신은 정말 밝고 착해요. 나는 당신을 지원합니다.|||우리 아줌마님은 햇살같은 분이시고, 다정하고 친절한 성격과 좋은 센스를 가지고 계십니다.|||이렇게 진심으로 사람들을 대해주시는 모습을 볼 때마다 감사드립니다. 이곳에서 김은혜 작가님의 가족을 만나니 더욱 반갑습니다.|||반짝반짝 빛나는 우리 엄마. 천사 옆에는 천사. 김혜경 여사. 당신의 목소리는 매우 감미롭고 부드럽습니다.|||사랑하는 김혜경 여사님, 저는 국민에 대한 차별이 없다는 점이 마음에 듭니다.|||요즘 대한민국 국민은 발달장애인이든 아니든 모두 사회에서 쓰임 받는 소중한 존재이니, 길이 열리며 모든 일이 잘 될 수 있도록 받아주시기 바랍니다.|||김혜경 여사의 능글맞은 순간과 세심한 배려를 보고 미소가 지어졌다. 정은혜 작가님의 그림선물은 표정이 투박하면서도 예뻐서 선물이 부럽네요!|||아, 정은혜 작가님과 아내 김혜경님 둘 다 너무너무 사랑스럽네요.|||사랑스러운 혜경씨는 주변 세상을 밝게 해줍니다. 보기 좋네요.. 응원합니다.|||나는 당신을 지원합니다. 나는 당신을 지원합니다. 힘내세요.|||와, 정말 예쁘네요. 김혜경 여사님, 자랑스럽습니다. 감사합니다. 건강을 유지하십시오. 나는 당신을 존경하고 사랑합니다.|||부인, 당신은 정말 사랑 스럽습니다.|||당신은 영부인이 되기 위해 태어났습니다. 보기만 해도 행복한 미소가 얼굴에 번집니다. 세기의 영부인이시며 대한민국의 어머니이신 성모님, 사랑합니다.|||이재명은 이재명과만 진심으로 함께합니다ㅡ함께 응원합니다ㅡ|||저도 발달장애 딸아이를 키우고 있어요. 은혜씨처럼 좋아하는 일을 하면서 행복하게 살아가는 장애인들이 많아졌으면 좋겠습니다. 내 딸도 은혜처럼 잘 자랐으면 좋겠다.|||그 부인은 정말 사랑스러워요. 그녀의 미소는 너무 달콤합니다.|||울 부인, 당신은 천사 같으세요.|||매력이 넘치는 김혜경. 영부인은 늘 태도가 낮았으니 당연한 일이다. 그녀는 사람들을 사랑하고 봉사하는 방법을 알고 있습니다.|||예쁘네요 김혜경씨.",0
VtlCvoHnhV8,"이재명 LIVE 충남의 심장, 첨단산업의 심장, 충남의 미래를 디자인하다","국가균형발전이 이루어지길 바랍니다. 대통령님 건강하세요.|||이재명 회장님 정말 멋지십니다. 화이팅.|||이재명 회장님 정말 멋지십니다. 그는 최고입니다.|||이재명 회장님, 늘 응원합니다. 건강 잘 챙기시고 행운을 빕니다.|||나는 대한민국의 위대한 대통령 이재명 대통령을 존경합니다.|||타운홀 미팅에서 국민의 의견을 들을 때, 국민이 사람을 추천할 때. 표현하고 싶은 키워드를 가슴에 품으면 사회자나 회장이 지명하게 되어 보다 본질적인 의견을 들을 수 있고, 불필요한 내용은 줄일 수 있을 것입니다.|||울 대통령님, 역대 최고이십니다. 너무 잘하고 계시고, 자랑스럽습니다. 당신은 하늘이 내려준 대한민국의 큰 보물이요 영웅입니다. 당신은 훌륭한 결과를 얻을 것입니다. 똑똑하고 똑똑한 을 대통령님, 앞으로 20년 더 임기를 이어주시길 바랍니다. 최고로 오래 살아요.|||정성호 법무부 장관님, 오늘도 좋은 하루 보내세요. 모든 일을 현명하게 처리하시기 바랍니다.|||대통령님. 여러분의 노고에 감사드립니다. 나는 항상 당신을 지원합니다. 건강 조심하세요|||저는 우리 대통령이 정말 자랑스럽습니다.|||강훈식 비서실장님 오늘 하루 잘 보내시고 지혜롭게 하시는 일마다 승리하시길 바랍니다.|||이재명 회장님, 자랑스럽습니다. 여러분의 노고에 감사드립니다.|||자랑스러운 대한민국 대통령 이재명 대통령님, 존경합니다, 사랑합니다 마니마니.|||이잼 측근님들 오늘도 좋은 하루 보내시고, 하시는 일 모두 현명하고 성공하시길 바라겠습니다.|||국가보안법 폐지?|||건강에 유의하시기 바랍니다. 이잼의 건강이 대한민국의 미래입니다.|||감사합니다, 자랑스러운 대통령님.|||이언주 의원님 오늘도 좋은 하루 보내세요. 현명하게 행동하고 무슨 일을 하든 승리하세요.|||최동석 인사과장님 오늘도 좋은 하루 보내세요. 현명하게 행동하고 모든 일에서 승리하세요.|||리더로서 가장 어려운 것은 듣는 것이고 가장 쉬운 것은 말하고 훈계하는 것이지만, 전국을 돌아다니며 듣는 것이 훌륭한 태도라고 생각합니다.|||소중한 이재명 회장님, 건강 조심하시고 앞으로도 천재가 되시기 바랍니다. 이재명을 선택한 국민으로서 명령합니다.|||우리는 항상 당신을 지원합니다!|||천재 이재명 대통령은 재선되어야 한다. 기운을 내다. 당신 뒤에는 깨어있는 사람들이 있습니다.|||존경하는 대통령님, 노고에 감사드리며, 추운 날씨에 감기 조심하시기 바랍니다.|||이재경비원 여러분, 오늘도 좋은 하루 보내세요. 항상 보안을 철저히 유지하고 주변 환경에 항상 세심한 주의를 기울이십시오. 늘 자랑스러운 한미의 베테랑 경호원이 되시길 바랍니다.",0
yPk_FLAvBFw,"이재명 LIVE K반도체, AI 강국 오픈","대통령님, 사랑합니다, 지지합니다, 존경합니다, 자랑스럽습니다.|||이를 보여줘야만 국민이 정부 정책에 협조할 수 있다. 나는 그것을 너무 좋아합니다.|||세상이 드디어 오른쪽으로 돌아가고 있다|||을 대표님이 토론을 설명하실 때마다 힘을 얻습니다.|||하루가 이렇게 빨리 지나가는 이유를 보면, 이재명 회장의 행보가 실시간으로 공유되는 데에는 이유가 있다. 많이는 모르지만 AI 정책에 대한 논의만 보면 중요한 정책이라는 생각이 듭니다. 똑똑하고, 현명하고, 지혜롭고, 만능 지도자이기 때문에 국민들이 반드시 한 번 더 그렇게 하게 할 것이라고 믿습니다.|||대한민국 이재명 대통령 정부가 잘 발전하길 바랍니다. 냄비 파이팅! 그것을 위해 가십시오!|||샤이닝잼타입|||절반도 이해 못했는데 재미있네요.|||당신은 많은 일을 겪고 있습니다. 기운을 내다.|||당신은 정말 천재적이고 실천력이 뛰어난 대통령이십니다. 당신은 정말 대단해요.|||이재명 회장님이 오셨습니다. 적어도 그것은 나에게 힘을 줍니다. 대통령님, 존경하고 사랑합니다.|||내 심장이 뛰고 있어요. 이재명 대통령님, 장차관님들께 감사드립니다. 한국과 기업인의 무궁한 발전을 기원합니다.|||나는 이재명 대통령을 지지한다.|||차량용 반도체 문제에 관해서는 군이나 정부, 공공기관에서 사용할 차량에 장착하는 것이 좋겠다고 생각합니다.|||전문 아나운서가 진행을 맡아 퀄리티가 확실히 좋아졌습니다. 나는 이재명 정부를 지지하고 지지한다.|||5년은 너무 짧습니다. 이 나라가 발전하려면 그를 다시 임명해야 합니다.|||우리통님|||사랑해요. 나는 확신한다.|||우리는 재능있는 대통령을 존경하고 사랑합니다. 언제 어디서나 당신을 지원합니다. 이재명뿐이다.|||와 요즘 경제논쟁 왜이렇게 웃기지? 하하하, 아무래도 나이가 들었나 봐요.|||믿음, 설렘, 이잼정부|||세종대왕...정조대왕...그리고 백마를 탄 초인 재명왕이 초일류 선도국가 대한민국을 위해 재위임됩니다!!|||좋아요. 여러분의 노고에 감사드립니다. 나는 항상 당신을 지원합니다.|||희망과 자부심으로 가득 찬 우리 정부의 주요 인사들 간의 열띤 토론이 기대됩니다.|||이재명 정부가 미국과 대만을 이길 수 있는 반도체 국가를 만드는 것이 최선일 것이다. 아직 일반 대중은 AI를 적극적으로 활용하지 못하고 있어 미래는 어떨지 궁금하다. 국민소득이 늘어나고 삶의 질이 향상되길 바랍니다. 대통령님, 전력을 다해 주십시오.",0
ZxRh5wkpMAk,왜 최저임금만 주나요?,"세계에서 가장 위대한 대한민국 이재명 대통령님, 우리는 언제나 당신과 함께 있습니다!!!!! 대한민국, 세계인이여!!!!! 세계의 대통령 이재명입니다!!!! 사랑해요. 기운을 내다. 끝까지 응원하겠습니다.|||정부가 주도적인 역할을 해야 합니다! 와... 당신이 최고예요|||이재명 회장의 아이디어는 천재적이다! 발상의 전환은 이렇습니다!|||대한민국의 위대한 지도자이시며 천재이신 이재명 대통령님이 자랑스럽습니다. 감사합니다. 나는 당신을 존경하고, 지지하고, 응원합니다. 건강하시고 힘내시기 바랍니다.|||당신은 우리 민족 역사상 가장 성스러운 군인입니다. 나는 당신을 지원합니다.|||또한. 모든 면에서 거침없는 천재 이재명 회장님.. 세계사에 길이 남을 천재 이재명 회장님.. 사랑합니다.|||우리 대통령님 사랑하고 감사합니다. 너무 감사하고 행복합니다.|||계약자는 비정규직에게 최저임금만 지급하고 세금은 모두 공제한다. 대통령님, 월급쟁이는 죄가 아니죠? 세금 제대로 내는 직장인들을 살려주세요. 제발.|||진짜 행정가인 이재명 대통령님, 오래오래 집권해주세요.|||정말 사실이야|||지상 최대의 멋짐의 왕|||나라가 사람을 찢어먹고 먹던 시절이 아직도 존재하는데... 당장 고쳐야 합니다. 사회개혁위원장 이재명|||지지율 80%로 출발!!!|||우리 대통령님, 정말 대단하십니다. 그것은 감정의 연속이다. 나는 그것을 간과할 수 밖에 없다.|||대통령님 말씀에 전적으로 동의합니다. 정부가 최소한의 금액만 먼저 주는 것은 잘못된 일이다.|||항상 옳은 길을 찾는 사람. 나는 당신을 존경합니다.|||공감|||가짜가 판치는 세상! 가짜가 너무 많습니다. 이재명 회장님, 건승을 기원합니다. 냄비 파이팅! 그것을 위해 가십시오!|||당신 말이 맞아요|||좋아요. 기술직에는 효율적인 변화가 필요합니다. 한국에서만 미용사에 대한 선호가 거의 없습니다. 표준기술의 변화와 시술인원 1인당 변화가 필요합니다. 한국에만 이런 게 있어요. 변화는 반드시 필요합니다.|||저도 정말 궁금했어요.|||나는 당신을 지지하고, 오늘도 당신을 지지합니다. 제안이 있습니다. 모든 국민이 방향지시등을 켜도록 관계부처에 지시해 주시기 바랍니다. 방향지시등만 켜면 교통흐름이 좋아지고, 교통사고도 줄어들고, 도로 위의 많은 분쟁도 사라질 것입니다.|||대통령님, 당신은 최고입니다. 사랑해요.|||축복을 받다|||국민 정서가 무엇인지 정말 잘 아시는 분이 너무 감사하고 소중합니다.",0
HdkxmpeZMbw,김치 60kg? 이것은 기본입니다.,"우리 여사님 야무지고 지혜롭고 뭐던지 잘 하실것 같아요 사랑합니다 우리 김혜경 여사님|||여사님 김장김치 보니,수육.족발이 생각 납 니 다.|||어쩜|||좋아요 수고 하십니다 항상 응원 합니다|||여사님들의 모임 화기애애 하고 음식문화도 홍보하시고 나라가 이제야 격을 갖추고 제대로 돌아가는 것 같습니다|||김혜경여사님 너무이쁘시다 수고많으셨어요,대사부인님들도 이번기회 김치담가보는것도 그들한테 흥미로운일이죠|||우장춘박사님 고개숙여 감사드립니다 박사님덕분에 감사한 마음으로 배춧 잘 먹고 있습니다|||감사합니다! 지금 진짜 대한민국입니다!|||세계가 김치에 푹 빠지는 날 기대합니다 ㅎㅎ 여사님 넘넘 사랑합니다|||여사님 최고 너무 아름다우세요 항상 응원 합니다|||있는그대로 자연스러운 분위기|||여사님 김치 홍보대사 아주 친절하고 따듯하게 잘 하고 계시네요.|||고우셔라 자랑스럽습니다 김혜경여사님 고맙습니다 존경하고 사랑합니다 건강해주세요 힘내십시요|||여사님 너무잘하세요!! 늘 이프 여사님 잘보구있어요 자부심많이가지구있어요 대한민국국민으로써 고맙습니다늘 사랑하고 존경해요|||힘내세요 건강하세요|||참 단아하고 품격있다!!!|||해외에서 김치데이가 있다니 놀랍네요|||김혜경여사님 영부인다움. K김치외교|||응원합니다 화이팅|||맑다|||이제 나라가 제대로다 대통령 영부인 다운 나라|||안뇽하심니까 이재명 대통령님 충성! 울 여사님은 어쩜 이리 싱그러운 봄 느낌이실까효|||자랑스런 우리 영부인님|||말씀도 참 이쁘게 잘하시고 상대방을 잘 배려하는게 느껴져요.|||여사님",0
5cxgvDLuGMo,풀버전 조선민주주의인민공화국과의 평화공존과 동반성장의 미래 | 제22차 민주평화통일자문회의 발대식,"그것은 내 눈에 눈물을 흘리게 만듭니다. 길게 늘어선 국민들에게 손을 흔들며 걸어가시는 대통령님의 모습.. 대통령을 향한 국민의 애정 어린 표정.. ㅠㅠ국민의 사랑과 존경을 받는 위대한 지도자의 모습이 바로 그것이다. 대통령 옆에 계신 강훈식 비서실장의 환한 미소를 보면 대통령에 대한 존경심을 느끼게 됩니다. 우리 대통령님, 국민의 뜻대로 늘 건강하시기 바랍니다. 고마워요, 고마워요. 우리 대통령님, 저는 우주보다 대통령님을 더 사랑하고 존경합니다.|||이재명 대통령은 국민주권정부를 믿고 살아갑니다. 시민 여러분, 인정된 것을 인정하고 민주주의와 화합, 평화를 향해 나아가시기를 간곡히 부탁드립니다. 감사합니다.|||이재명 대통령은 모든 정책활동에 있어서 완벽하다. 그는 대토 역사상 최고의 사람 중 한 명입니다. 좋아 좋아...|||이재명 대통령 내외는 그 꿈을 이루기 위해 애쓰며 우리 국민에게 희망과 꿈을 주었습니다. 이재명 회장님, 귀하의 가정에 건강과 행복이 가득하시길 기원합니다. 매우 감사합니다. 감사합니다!!!|||ㅜㅜㅜㅜ 이해찬대표님. 건강하시고 꼭 꿈의 한국을 함께 지켜보세요!!! 나는 당신을 우리 대통령만큼 존경합니다.|||정말 위대한 대통령님, 감사합니다. 대통령 내외의 건강을 위해 국민의 마음으로 날마다 한반도의 평화를 기원합니다. 믿음직한 대통령님, 건강하세요. 국민은 언제나 여러분과 함께 할 것입니다.|||나와 함께할 사람은 진짜 어른인 막내아들 이해찬 바이브민주당 수석부회장뿐이다. 오래오래 건강하세요|||이재명 회장님, 저는 당신을 신뢰합니다. 나는 대한민국 최고의 지도자이신 이재명 대통령을 존경합니다. 대통령|||이 아름답고 감동적이며 만족스럽고 따뜻한 평화의 느낌을 누가 막을 수 있겠습니까? 남북전쟁이라는 말은 용서할 수 없다. 이재명 대통령이 20년 연임됐으면 좋겠다.|||이재명 회장님, 감사합니다. 할 일이 너무 많아서 고개를 숙이고 애쓰고 있습니다. 우리 대통령님 정말 멋지십니다. 그것을 위해 가십시오|||해찬 대표님, 건강하셔야 해요. 울잼프 옆에 오래오래 머물러주세요.|||이해찬 국무총리. 집에서 기본적인 운동을 해주세요. 오래오래 건강하세요!|||불과 6개월 뒤, 채상병 사건 당시 국민과 함께 정의를 위한 목소리를 높여주시고, 김근태 정의상 시상에도 함께 해주신 이재명 위원장님, 이해찬 평화통일공동부위원장님, 진심으로 감사드립니다. 이재명 정권을 믿고 지지해주신 이재찬 부회장님, 건강하시길 바랍니다. 이재명 회장, 이해찬 부회장, 늘 화이팅입니다. 정대철·손학규·이낙연 수사 대상이다.|||대통령님, 업무를 잠시 쉬시기 바랍니다. 나는 당신의 건강이 걱정됩니다.|||대통령님 건강하시고 화이팅하세요!|||나는 시계에 깊은 인상을 받았습니다. 나의 대통령|||우리 이재명 대표님 항상 고맙고 감사한 마음입니다.|||존경받는 민주당의 진정한 원로 이해찬 보좌관을 만났습니다. 만나서 반가워요, 대통령 각하.|||이재명TV 카메라 화질도 좋고, 구성이나 편집도 정말 보기 좋네요 ㅎㅎ|||이해찬 대표님, 오래도록 옆에 있어주세요. 고문 후유증으로 고생하시는 모습 보니 마음이 아프네요 ㅜㅜ|||대통령님, 국민만 돌보지 마시고 건강을 잘 챙기십시오. 늘 열심히 일하시는 만큼 건강이 가장 걱정됩니다.|||정말로 우리 대한민국 대통령이시며 조선민주주의인민공화국 이해찬 수석위원장님, 건강하세요.|||10년만 더 더해보자. 민주주의가 모든 곳에 뿌리를 내리려면 더 많은 시간이 필요합니다. 썩은 것을 치우려면 10년이 필요하다.|||건강하세요 이재명회장|||회장님, 이해찬 부회장님, 응원합니다. 감사합니다.",0
L5fDEzZiDHk,앞으로도 이대로 계속해주세요.,"이제는 이재명대통령 시대!! 나는 안심이 된다. 당신을 응원합니다!!|||대통령님, 당신이 이 자리에 계시니 매우 든든하고 든든한 느낌이 듭니다. 감사합니다. 항상 건강에 유의하시고 더 나은 세상을 만들어가시기 바랍니다.|||균형발전이 중요한 시기에 우리 더불어민주당 이재명 대표님이 계시다니 정말 반갑습니다!!|||나는 당신을 강력히 지지합니다. 나는 확신한다. 사랑해요, 우리 대통령님.|||이재명 회장은 잘 지내고 있다. 나는 항상 당신을 지원합니다.|||당신은 한국의 5극 3특징의 균형 있는 발전을 위해 태어났다고 말할 수 있습니다. 감사합니다.|||우리는 대한민국을 균형발전의 번영국가로 만들기 위한 이재명 대통령의 깊은 관심과 이해, 믿음직한 노력을 지지하고 지지합니다.|||감사합니다 감사합니다|||지역발전이 이루어지길 바랍니다.|||나는 당신을 응원합니다. 기운을 내다.|||사랑해요 이재명 회장님|||대통령님, 상속세 개편안이 내년에 꼭 통과되도록 해주시기 바랍니다.|||실천적인 정책과 적극적인 행정으로 성과를 거두고 있는 이재명 대통령을 지지하고 격려합니다. 국민과 함께 더 나은 세상을 만들어 갑시다.|||좋은 하루 보내시기 바랍니다|||사랑을 고르게 퍼뜨리고 계십니다. 시민 여러분의 사랑과 관심을 알아주셨으면 좋겠습니다.|||우리 이잠 회장님을 존경하고 사랑합니다!|||대한민국 이재명 대통령을 지지합니다|||이재명 회장과 함께 사는 것은 행복 그 자체다. 내전 종식은 기득권과 국민의 대결이기 때문에 개혁만이 나라가 살 수 있는 유일한 길이다.|||성장회복 균형발전|||이 잼은 지혜의 구체화입니다|||기운을 내다|||나라는 우리 몸과 같아서 균형 잡힌 영양 섭취가 필요합니다. 수도권만 발전하면 까다로운 음식을 먹고 뱃살이 늘어나는 것과 마찬가지다. 지역균형발전은 국가의 지속가능한 발전을 위해 반드시 달성해야 할 필수요소이다.|||나는 당신을 응원합니다|||이재명 회장님, 당신이 최고입니다. 나는 당신을 지원합니다. 나는 당신을 존경합니다. 건강하세요. 우리는 끝까지 당신과 함께 할 것입니다.|||소중한 이재명 회장님, 건강 조심하시고 앞으로도 천재가 되시기 바랍니다. 이재명을 선택한 국민으로서 명령합니다.",0
GDo9IwL4ol0,전체발언 전문.. 진심으로.. 53회의 완벽한 조화 ㅣ 제53차 국무회의,"대통령님, 사랑합니다. 존경합니다. 지지합니다. 자신감이 있고 자랑스럽습니다.|||우와!! 역시 이재명은 다르다!! 한시간도 낭비하지 않는 이재명회장!! 이재명 회장님, 10년 이상 대한민국의 혁신적인 대통령이 되어주세요!! 절대절망의 시대에 이재명 대통령이 대한민국의 대통령이 된 것은 정말 행운입니다!! 대한민국 No.1 주장! 대한민국은 이재명이 있는 나라이다.|||그런 사람은 또 없습니다. 정말 기뻐요.|||캬하 이게 나야|||메리 크리스마스|||최선을 다하는 정부|||저항과 갈등이 없는 변화는 변화가 아니다! 극복할 수 없다면 도대체 무엇을 할 수 있겠습니까?!|||이재명 회장님, 소신대로 힘차게 추진해 주십시오. 나는 항상 당신을 지원합니다.|||개혁에는 저항이 따른다는 말에 전적으로 동의합니다. 그럼에도 불구하고 하는 것이 옳은 일입니다. 더 나은 미래를 위해 화이팅!!|||이재명 대통령님과 장관님들 너무 든든하고 보기 좋네요. 국민들은 안도감을 느낍니다. 우리는 그들을 지지하고 응원합니다.|||자랑스러운 대한민국의 지도자 이재명대통령님 만세!!!|||국민이 부여한 권위를 바탕으로 열심히 일하는 우리 대통령이 자랑스럽습니다. 나는 이재명 대통령을 진심으로 지지한다.|||정말 똑똑하신 사장님 덕분에 마음이 편해졌습니다.|||나도 이 나라의 주인으로서 살기 위해 열심히 일한다. 대한민국이 번영하길 바랍니다.|||저는 항상 이재명 회장님을 지지하고 있습니다.|||고위공직자라면 권력의 문제가 아니다. 저는 이러한 논의와 개혁이 중요하다고 생각합니다. 정말 안심이 됩니다. 아래 직원 여러분의 노고에 감사드립니다.|||회장님 항상 건강하세요.|||우리나라 보물 1호인 잼대통령을 절대적으로 보호합시다.|||사랑해요, 대통령님!|||행운을 빌어요!|||나는 이재명 대통령을 지지한다.|||항상 건강하시고 몸관리 잘 하시기 바랍니다.|||아, 너무 귀여워요. 정말 기뻐요! 감사합니다|||인민주권정부에 맞서 싸워라!|||이 대통령님, 만나서 반갑습니다.",0
RU1c4zXmOfI,이재명 국정수첩 새로운 시각으로 나아가겠습니다. 12월 첫째주 8분 25초 입니다.,"대통령님 덕분에 우리가 안전하고 평화롭게 살아갈 수 있다는 게 너무 감사하고 뿌듯합니다.|||가끔씩 휴식을 취하십시오. 나도 이런 뉴스 보고싶다|||오늘도 국민을 위해 애쓰시는 대통령님께 감사드립니다.|||천재대통령을 지지합니다. 작업하시는 동안 건강에 유의하시기 바랍니다. 나는 걱정된다. 나는 재임명에 찬성한다.|||대한민국 이재명 대통령님, 당신이 최고입니다.|||대통령님, 반란세력을 모두 척결해 주십시오.|||대통령님, 당신은 빛이자 희망의 등불입니다. 무슨 일이 있어도 나는 당신이 하는 일을 따르겠습니다. 대통령님, 당신의 미소는 가벼움이자 희망의 표시입니다. 사랑해요.|||아버지가 국정운영에 힘쓰시는 모습을 보며 대한민국 국민들도 열심히 살고 있습니다.|||감사합니다 이재명 대표님 화이팅!|||리더란 무엇인가? 국민주권정부 이재명 대통령처럼 나라를 잘 다스리고 운영하는 지도자를 만나는 것은 국민의 생명과 재산을 지키는 것입니다. 열심히 일해주신 국무위원 여러분께 감사드립니다. 나는 우리나라의 훌륭한 닙 대통령과 그의 부인을 존경합니다. 나는 당신에게 많은 사랑을 보냅니다. 감사합니다. 화이팅.|||잼 회장님, 원하는 대로 하세요. 그가 20년 동안 대통령이 되기를 바랍니다.|||이재명 대통령은 재선임되어야 한다.|||오직 국민을 위해 일하는 대통령! 그는 진정한 국가의 대통령이다. 나는 안심이 된다.|||감사합니다. 나는 당신을 믿고 끝까지 당신을 지지할 것입니다. 건강하세요.|||잠통님을 응원합니다.|||정말 한국!!!!|||위대한 대한민국의 소중한 국민이신 이재명 대통령님과 영부인님! 하늘의 도움입니다. 어쩜 이렇게 좋을 수가 있지? 얼마나 다행이고 좋은 일인가. 정말 기쁘고 감사하고 기쁘고 자랑스럽습니다. 건강을 유지하십시오. 공공의 허락 없이는 아프지 마십시오. 대통령의 한 시간이 위대한 대한민국 소중한 우리 국민의 5,200만 시간이듯이... 대통령의 한 몸은 위대한 대한민국 5,200만 우리 국민의 몸입니다...|||너무 좋아서 눈물이 난다|||하나님 재명님, 자랑스러운 대한민국 대통령 재명님|||아재명 회장님. 최고. 최고. 내가 무엇을 말할 수 있습니까? 정말 감사해요.|||저는 빛의 혁명이라는 말을 정말 좋아합니다. 우리는 또한 마약 범죄자들의 해결을 촉구합니다.|||당신은 대한민국의 행운입니다|||대통령님, 우리나라를 위해 노고에 감사드립니다.|||매우 감사합니다. 사랑해요, 사랑해요, 그리고 존경해요. 우리 대통령님 건강 조심하세요!!!!!!!! 꼭 챙겨주세요!!!!!!!!|||우리는 귀하가 새로운 부채를 가지고 전진할 때 지원과 격려를 제공합니다. 존경하고 사랑합니다, 대통령님.",0
_56Y_LqdwSE,청와대 브리핑룸 김용범 정책실장 소프트뱅크 회장 면담 관련 브리핑 25.12.5.,"당신은 매우 예리하고 국정 운영을 잘합니다. 많은 정치인들이 이를 따라야 한다고 생각합니다. 따라갈 수 있는 사람은 없습니다. 암조차도 따라올 수 없습니다. 이재명 회장님, 5년은 너무 짧습니다. 진짜 대한민국을 만들고 싶다면 최소한 10년은 투자해서 기반을 다져보세요. 이재명 회장밖에 없습니다.|||귀하의 노고에 진심으로 감사드립니다.|||행운을 빕니다, 매니저님. 이재명 대통령님, 위대한 대한민국을 만들어 주십시오. 여러분의 노고에 감사드립니다. 감사합니다|||나는 대한민국 최고의 지도자인 이재명 대통령을 존경합니다.|||존경합니다, 대통령님. 당신이 대통령이 된 것이 얼마나 행운인지 모릅니다.|||나는 당신을 응원합니다.|||자신있습니다,,|||자랑스러운 대한민국을 되살리고 계신 천재명 대통령님, 사랑합니다, 김용범 감독님의 많은 응원 부탁드립니다.|||안녕하세요, 김용범 감독님.|||이재명 회장님, 존경하고 끝까지 응원하겠습니다.|||이재명정부 번성하세요,번성하세요,번성하세요.|||알았어, 너 요즘 일을 너무 많이 하는구나. 과로로 쓰러지진 않을까 걱정인데... 건강도 잘 챙기세요!|||나는 이재명 대통령을 지지한다.|||만나서 반가워요, 대통령님. 우리는 당신과 함께 있습니다.|||이재명은 이재명과만 진심으로 함께합니다ㅡ함께 응원합니다ㅡ|||저는 김용범 감독을 정말 좋아해요.|||우리 대통령님, 오늘 고생 많으셨습니다. 늘 건강하시길...|||김용범 감독님이 오셔서 든든해요.|||노력해주셔서 감사합니다|||김용범 감독님, 수고 많으셨습니다. 이재명 대통령의 국정 성공을 기원합니다.|||빠른 속도로 발전하는 나라에 대해. 매우 감사합니다|||김용범 감독님, 나쁜 김은혜씨 때문에 고생하셨습니다. 날고 싶으면 김은혜를 날자.|||천재 김용범 정책국장님 감사합니다. 나는 당신을 존경하고, 지지하고, 응원합니다. 힘내세요.|||이재명 회장|||김용범 정책국장님, 행운을 빕니다! 감사합니다! 몸 조심하세요!",0
