url,title,comment,label
FaB7QDm3wz8,"이재명 LIVE 국가공간의 대전환, 대한민국을 널리 쓰겠습니다! 지방시대위원회 보고회","나는 항상 당신을 지원합니다. 대통령님 건강하시고 파이팅하세요.|||행운을 빕니다, 대통령 각하. 나는 당신을 지원합니다. 제안이 있습니다. 자동차 방향지시등 켜기 운동이 전국적으로 확산될 수 있도록 관계부처에 지시해 주십시오. 방향지시등을 켜지 않는 차량이 너무 많습니다.|||전 세계적으로 사랑받는 최고의 대통령 이재명 대통령님, 사랑합니다. 추운날씨 감기 조심하세요|||대한민국의 5극 3특화 시스템|||대통령님. 아프지 말고 늘 ​​걱정하세요. 나는 파티원입니다. 건강하다|||대통령님, 국민들은 대통령님을 응원하고 지지하고 있습니다. 감사합니다.|||대통령님 덕분에 한국이 발전하고 있다는 걸 느껴요!! 역대 최고의 대통령 이재명 대통령|||나는 A급 국민 다음으로 A급 국민을 잘 섬기는 정부를 좋아한다.|||잼프 정부 밑에서 지역이 얼마나 성장할지 정말 기대된다. 또 청와대는 크리스마스를 보낼 것이라고 한다. 크리스마스 영상도 만들어주실거죠? 아! 시계는 도대체 어디서 살 수 있나요?|||결국 지속가능한 새로운 산업생태계를 어떻게 만들어가느냐가 관건이라고 생각합니다. 지속가능하기 위해서는 자연에 기반한 해결책과 생태학적 접근에 접근하는 교육이 필요하다고 생각합니다. 이를 바탕으로 한국형 자원발굴과 융합을 추진해야 한다고 생각합니다. 저는 젊은이들에게 현재의 식품 분야를 넘어 어떻게 미래를 선도할 수 있는지에 대한 인식을 먼저 심어주어야 한다고 믿습니다. 이에 대한 답은 COP 시스템에서 찾을 수 있습니다. 나는 한국의 자연환경의 토양, 식물, 미생물, 문화 등이 융합, 결합되어 생태적인 한국형 10차 산업생태계를 만들어야 한다고 믿습니다. 1 2 3 4 10|||감사합니다, 우리 대통령님! 항상 건강 조심하세요! 아, 쿠팡 사태가 심각한 것 같네요. 카드발급을 비대면에서 대면발급으로 바꾸면 피해가 덜할 것 같아요. 건강하세요!|||이재명 회장님 때문에 무능하고 무책임한 사람들을 보살피고 있습니다. 국민을 위한 것이 아니라 자신을 위한 부정정치가 더 이상 뿌리내려서는 안 됩니다. 문재인의 똥에 가리워진 것들을 예의주시하고 감시해야 한다.|||나는 안심한다|||나는 이 공개적이고 투명한 정부를 내 손으로 선출했습니다.|||이런 토론을 보는 것이 좋습니다. 발전하는 대한민국을 기대합니다!|||수도권 집중은 막아야 한다. 대규모 개발과 투자를 통해 청년들이 생계를 꾸릴 수 있도록 지역을 발전시키고, 아파트값을 절반으로 낮추는 수도권 부동산 정책을 계속 전개해야 합니다.|||우리는 대통령을 잘 선택했습니다.|||항상 국민 여러분께 알려주셔서 감사드립니다. 나는 이재명 정권이 투명해서 좋다.|||나는 이재명을 좋아한다.|||대통령님과 함께 대한민국이 초강대국, 초경제대국이 되는 것은 꿈이 아니라 곧 다가올 현실이라고 믿습니다!|||한국이 널리 쓰인다는 소식을 들으니 신난다!|||K 민주주의를 이끌어가는 이재명의 리더십이 대한민국을 넘어 세계로 퍼져나가기를 바랍니다.|||나라를 위한 노고에 감사드립니다. 행운을 빌어요.|||한국을 널리 활용하겠습니다. 말씀해주셔서 감사합니다.|||대통령님, 지지합니다.",0
ISfH-rDAvXM,"뉴스타파, 전두환·허화평 잔당 추적",나는 당신을 존경합니다. 사랑해요.|||캐릭터는 캐릭터다|||다루지 못한 것을 덮었나요?|||도대체 내가 무엇을 다루고 있었는지 모르겠습니다.|||보고 능력이 정말 대단하네요. 쇼입니다.|||허화평은 너무 똑똑해서 거만한데... 좀 덜 자랑해라...,1
cm3IGKUQtrk,전두환 아들 전재국씨는 2013년과는 사뭇 다르다.,"벌금을 회수하는 것이 쉽지 않을 수도 있지만, 시간이 걸리더라도 반드시 이루어져야 합니다. 나라에 도둑이 없을 때까지.",0
g-d-1-1VJZM,취임식의 밤을 주최하는 사람은 누구인가요? 이유가 있었어요! 배승희 뉴스배달,"배승희 변호사!! 최고입니다. 멋지다. 와, 예쁘네요.|||뚝순 변호사 배승희입니다. 마음에 들어요, 최고예요. 윤석열 총장님, 힘내십시오.|||배 변호사의 사이다 발언이 참신하다. 당신은 예상과 동일합니다.|||배승희 변호사님, 늘 응원합니다. 여러분의 노고에 감사드립니다.|||당신은 정보를 명확하게 정리하고 전달하는 능력이 뛰어납니다. 감사합니다|||배변호사|||국민이 바라는 바를 배승희 변호사가 이뤄드리겠습니다. 이재명의 탄핵과 사퇴는 반드시 일어날 것이다.|||변호사님 좋은 정보 감사드립니다. 건강하세요.|||배승희 변호사님의 진단과 의견을 잘 들었습니다. 나는 당신을 지원합니다.|||배승희 변호사님께 늘 감사드립니다. 무지한 대중에게 계속해서 홍보해주세요.|||배 변호사님, 항상 좋은 방송 감사드립니다. 나는 항상 당신을 지원합니다.|||배승희 변호사, 파이팅 파이팅, 예수님을 믿으면 당신이 최고입니다. 모스탄 대사님, 고든 장 변호사님, 대한민국을 위해 쓰임 받으소서.|||배승희! 가세요!! 훌륭해요, 기분이 상쾌해집니다.|||당신은 모든 세부 사항에서 정확합니다.|||선선선생님. 감사합니다. 건강하세요.|||처벌받아 마땅한 분들은 국제인권위원회를 도와주세요. 제발 나라가 잘 안 돌아가네요. 김건희 대통령님 힘내세요.|||항상 활기차게 방송해주셔서 너무 감사드립니다!!!|||배승희 변호사님, 감사합니다. 서로를 지원합시다. 화이팅.|||배승희님을 응원합니다. 언론사 보지 말고 솔직하게 보도하세요.|||배승희 변호사 화이팅!!!!!!!|||배승희 변호사님 말씀이 맞습니다.|||배승희 변호사님은 자유대한민국의 가장 위대한 애국자이십니다.|||배승희님을 응원합니다|||안녕하세요 배승희 변호사님.|||배승희 변호사님의 협조에 감사드립니다. 당신이 진실만을 말하기 때문에 나는 당신에게 공감합니다. 관타나모만을 적극 추천합니다!",1
vdfsqSd3InI,미국 현지 상황을 보니... 와! 배승희 뉴스배달,"국제법에 따라 그를 체포하고 구금해 주십시오.|||배승희 변호사님, 정말 좋은 말씀이십니다. 행운을 빌어요.|||국회의원들이 이를 줄여야 한다고 생각합니다. 바뀌어야 합니다.|||우리나라는 헌법 개정을 통해 국회의원 수를 100명으로 늘려야 한다. 그리고 공무원 수를 줄여야 합니다. 선거제도도 바꿔야 한다. 배승희 변호사를 지지합니다. 최고입니다.|||배승희 변호사가 최고입니다.|||국회의원을 100명으로 줄여야 한다는 배승희 의원의 말이 맞다.|||속이는 것이 멋지다.|||배승희 뉴스배달 오늘도 응원하고 화이팅합니다!|||배 변호사의 유튜브 채널은 간신히 대한민국을 구하고 있습니다. 나는 당신을 존경합니다. 건강 잘 챙기세요.|||대만은 공무원과 국회의원 수를 줄이고 수표로 선거를 실시하는 등 분단국가인 한국으로부터 배울 점이 많다.|||우리나라에서 국회의원 수를 줄이는 것은 당연한 일이다.|||배 변호사님, 늘 응원합니다. 보고 싶어요. 화이팅!!|||배승희 변호사님, 맞습니다. 나는 당신을 강력히 지지합니다. 저는 우리 경제의 미래가 매우 걱정됩니다.|||배승희 변호사는 최고의 유튜버입니다.|||국회의원을 줄이고 비례대표를 없애 나라가 바로 설 수 있게 해주세요. 저는 대만의 선거제도가 정말 부러워요. 중앙선거관리위원회를 없애야 선거가 제대로 치러진다.|||배승희. 고마워요, 변호사님.|||배성희 변호사님, 조은씨에 대한 정보를 많이 전해 주세요.|||안녕하세요, 진보우파의 자랑스러운 여전사 배승희 변호사님.|||총 100명의 국회의원이면 충분하다. 불필요한 국회의원이 너무 많아서 정당끼리 싸우게 되고, 나라를 위해서는 아무것도 안 되고 국민의 세금만 낭비하게 된다.|||화이팅하는 배승희 변호사입니다.|||기운을 내다. 나는 항상 당신을 지원합니다. 자유민주주의를 수호합시다.|||비례대표제를 폐지하고 국회의원수를 100명 이하로 줄이자! 외국인 투표권을 폐지하자! 중국 부동산 소유권도 폐지하자!|||소식 잘 받고 있습니다. 최고입니다. 구크의 파괴|||나는 국회의원 수를 줄이는 것에 찬성한다! 무분별한 국회 삭감!|||저는 배승희TV를 좋아해요.",1
uyyopBJbCJM,세계사 망신 이신명 배승희 소식 전달,"배승희 변호사님의 의견에 동의합니다. 철학이 없는 사람이 철학을 가진 사람들 앞에서 굴욕을 보이고 오만하게 말하는 장면이었다.|||배승희 변호사님, 정확한 소식 감사드립니다.|||장동혁 대표님 축하드립니다! 들깨씨앗을 주신 배승희님과 다른 유튜버분들께 감사하다는 말씀 전하고 싶습니다.|||재치있고 현명한 변호사 배승희님의 방송을 항상 감사하게 시청하고 있습니다. 오늘은 정말 행복한 날이에요. 작지만 희망의 빛을 본 하루였습니다. 이것이 시작이다. 보수의 재건을 위하여!!!|||감사합니다|||축하해요. 미래는 희망이 있는 미래입니다. 개혁하고 위대한 대한민국으로 발전하자. 화이팅. 자유로운 사람들.|||싸우는 친구를 축하합니다!|||장동혁 대표님 축하드립니다!|||잘 설명해주셔서 감사합니다 배변호사님,,,,|||살아남아줘서 고마워|||애국열사, 청년, 시민, 유튜버 여러분께 진심으로 감사하고 감사하며 사랑합니다.|||장동혁, 배승희님 축하드립니다.|||배승희 변호사님, 노고에 감사드립니다.|||안녕하세요 화장실에 다녀올게요 오늘도 팩트뉴스 기대됩니다.|||배승희 의원님, 국회에 나오셔서 나라를 구해주세요. 스마트한 칼럼과 예쁘고 멋진 시사를 응원합니다. 배승희 화이팅!|||윤 총장을 살려주세요.|||아, 고마워요. 좋은 소식입니다. 장동혁 당대표님, 축하드립니다.|||나는 그것을 기대하고있다|||여호와 닛시 하나님! 감사합니다|||애국적인 유튜브의 승리입니다.|||앞으로도 좋은 정보 부탁드립니다.|||한미동맹, 한미혈맹, 생명혈동맹, 영원할 나라, 미국의 트럼프 대통령, 존경합니다, 노고에 감사드립니다, 자유대한민국, 진정한 애국자, 5천만 자유대한민국, 함께하자, 힘내십시오, 여기 있습니다, 승리합시다, 윤석열 대통령, 비상계엄, 당신의 권위입니다, 비상계엄, 계몽의 포고입니다. 그렇죠 돌아가자 윤석열 총장 돌아가자.|||장동혁! 윤 총장님, 살려주세요. 진심으로 바랍니다. 화이팅.|||좋은 변호사 배승희님, 응원합니다.|||국민의당 원내대표를 비롯한 지파들은 전력을 다해 민주당에 맞서 싸워야 한다!",1
0Vj7k4_L6bc,가랑이 찢겨…배승희 뉴스배달,"국가패배전략회의가 히트를 쳤습니다.|||배변방송을 시청하며 응원하고 있습니다. 알려주세요. 내 머리 속에 맴돌 것이다. 감사합니다.|||갑진 변호사님, 말씀 감사드립니다. 어리석은 시민들이 귀 기울여 들을 수 있도록 자세히 설명해 주셔서 감사합니다. 항상 힘내시고 건강 조심하세요.|||어서오세요|||배승희 변호사의 연설을 들으면서 웃음이 터졌고, 언론사들이 어느 나라 기업인지 알 수 없었다.|||셰씨는 범죄 건당 매일 북한에 돈을 송금하고 있다.|||ㅋㅋㅋ 배승희 너무 귀여워ㅋㅋㅋ|||확신하는 .|||기운을 내다!|||정의가 승리할 것이다. 민주당 국민은 바보가 아니다.|||양다리 외교가 왕따 외교로…|||나는 항상 당신을 지원합니다|||너무 불안해서 전승기념일에 가고 싶은데 트럼프에게 당선될까 봐 너무 걱정돼요!|||정말 짜증나네요. 흥사재판도 가고 감옥도 가야 하는데 조용히 지내려고 합니다. 이나라가 왜 이럴까? 돈을 빌려서 1인당 10억씩 나눠주세요. 범죄자들의 수준과 한계가 이대로 나라를 운영하기를 더 이상 바랄 수 없다.|||언론은 한국을 떠나야 한다|||당신은 미쳤어요.|||혼나도 싸다.|||등록회원 170만 빨리 달성하자|||나는 정의의 사람이고 충성을 다해야 합니다.|||정확한 방송은 배 변호사님이 하신 말씀입니다. 행운을 빌어요.|||국회는 무당의 집인줄 알았습니다. 북한에서만 볼 수 있는 촌스러운 한복에 저승사자까지 등장하는데... 눈길을 끄는 방법은 정말 다양하다.|||당신 말이 맞아요|||변호사님, 기분이 상쾌해졌습니다. 감사합니다.|||나는 당신을 지원합니다. 좋아요.|||민주당은 끝났습니다.",1
443bkElL6w0,좌파 판사들도 항의한다! 배승희 난리의 이유 뉴스 전달,"배승희 변호사님, 화이팅, 대단하십니다.|||곧 좋은 일이 일어날 것 같아요.|||윤석열 총장님, 힘내세요!|||진정한 애국자들은 언제나 싸우고 있습니다. 기분이 상쾌해졌어, 덕순이. 변호사|||장동혁 대표님 힘내세요. 나는 당신을 지원합니다. 건강하세요!!|||항상좋고, 좋은 정보 감사드리고, 끝까지 응원하겠습니다.|||딱 맞아요|||조지아주 애틀랜타에서 지켜보는 배승희 변호사의 모습은 역대급 방송이다.|||이재명 꼭 구속해라|||하루빨리 국내 전복세력을 조사해 본격적으로 처벌해야 한다는 것이다.|||좋아요. - 물론. - 장동혁 대표. - 감사합니다. - 당신 생각이 맞았어. -|||배승희 변호사. 최고야 장동혁 김민수 무조건 승리|||,2030 애국영웅 여러분, 매서운 추위 속에서도 우리나라를 위해 애쓰신 분들께 감사드립니다. 감사합니다. 나는 항상 당신을 지원합니다. 화이팅.|||청년들이 일어나야 합니다. 이 나라의 미래는 젊은이들의 손에 달려있습니다.|||고마워요, 변호사님. 건강하시고 힘내세요.|||장동혁, 김민수 등 자유대학을 강하게 만든다..... 힘을 합쳐야 한다. 나라를 바로 세우자. 국제사회도 도움을 줄 것이다. 배변 싸움|||사법부에서 이런 일이 일어나야 합니다. 온 국민이 함께 돕겠습니다.|||배승희 변호사의 말이 맞습니다. 우리 모두 장동혁 대표를 중심으로 뭉쳐 하루빨리 재명을 퇴출시켜야 한다.|||배승희 변호사님, 오늘도 수고 많으셨습니다. 나는 항상 당신을 지원하고 있습니다. 화이팅.|||고소! 행위... 행위... 발언... 권력분립에 위배되는 행위.|||국민의힘은 개별적으로 살아야 하고, 당을 배반한 자에게 공천을 주어 다시는 분열이 일어나지 않도록 해야 한다. 서로 힘을 모아 힘을 모아야 나라가 살아남을 수 있습니다.|||국민의힘은 싸우지 않는 의원을 공천해서는 안 된다. 국민은 국민의힘을 지지하니 B선거 의원들은 퇴진시켜야 한다. 명심해주세요|||이재명을 즉각 체포하라.|||배승희 변호사님, 진심으로 감사드립니다. 배승희 변호사는 사실을 강력하게 지적하고, 나라를 구하는 역할을 담당하는 보배이기 때문에 사랑합니다.|||이번에 내부총을 쏘는 놈들을 다 척결해야 나라가 살아남을 수 있다. 우리 당원들이 단결하여 장 의원에게 힘을 실어주십시오.",1
hojpPJjhmno,지귀연도 모르고...? 배승희 뉴스배달,"그동안 막아온 대중저항의 화약통을 건드리지 마십시오. 또 윤이 돌아왔다. 비가 내리고 있다. 눈 속에 눈이 내리고 있습니다. 나는 흑진주 전사를 지지한다!|||감사합니다|||저는 배승희 변호사를 존경합니다.|||행정과 입법의 최후 보루인 사법부의 정의를 보여주세요. 감사합니다.|||배승희 변호사님께 늘 감사드립니다.|||나쁜 사람들|||이 전과자 탄핵. 특혜 받아 세금낭비하면 나라 망한다.|||배승희님, 화이팅하세요. 수고 많으셨습니다.|||배 변호사, 투쟁하는 이재명, 내전을 모의하고 정치 보복을 중단하라. 윤 총장은 전혀 잘못이 없다. 이재명, 하루빨리 범인을 탄핵하라.|||국민부담당 정신 차려라|||논산의 딸! 나는 당신을 응원합니다|||국민을 무시하고 임의로 삼국이 완전히 무너진 것이다.|||앵커님, 덕순이는 항상 경청합니다.|||우리 국민들은 이 범죄로 인해 처벌을 받는 기득권자들을 처벌합시다. 무너진 대한민국의 자유민주주의를 지켜냅시다.|||배성희 변호사님, 행운을 빕니다. 좋은 정보 감사드립니다.|||믿고 시청할 수 있는 최고의 애국방송!!! 열정적으로 응원합니다.|||배승희 변호사님, 잘 지내시죠. 더 열심히 하고 최선을 다해서 승리하자.|||대응할 힘이 있나요? 국력은 무력하다. 내부 싸움은 좋습니다.|||앞으로 대한민국은 어떻게 될지 걱정되어 잠도 못 이루고 답답하기도 하지만, 배승희 변호사님의 건전한 말씀에 힘을 얻습니다. 항상 싸우고 있습니다.|||배승희님, 항상 정확한 소식을 전해 주셔서 감사드립니다. 감사합니다.|||힘내세요 배승희님|||이재명 당선무효 소송부터 시작해야 한다.|||존경합니다, 변호사님.|||진실된 소식을 전해 주세요. 항상 감사합니다.|||진보보수 변호사 배승희 애국방송이 구독자 500만 달성을 위해 열심히 노력하고 있습니다.",1
zQTSQbh89jw,장경태 성추행 의혹 변론 읽어보셨나요? 성범죄 전문 로펌들도 위기에 처해 있다.,"사직하다|||온 국민이 눈을 뜨고 지켜보고 있다. 그것은 공개되어야합니다.|||벌을 받아야 해|||허위사실로 반소를 제기하고 계십니다. 매우 사악합니다.|||인간이 되려면 반성할 수 있어야 합니다. 어떻게 반성해야 할지 모르겠습니다.|||장경태 아웃 관심|||행운을 빕니다, 변호사님!|||뿌린대로 거두는 죄를 짓는 경태야 넌 못해!!!|||주변 사람들도 조사를 받아야 합니다. 그것을 옹호하는 사람이 있나요?|||장경태! 국회의원직을 사퇴하고 피해자에게 생명을 구해 달라고 간청하며 죗값을 받아라.|||장경태 의원은 사퇴해야 한다.|||장경태 아무리 노력해도 심연에 빠진다.|||그렇게 했으니 다시 해보자. 이제는 아니오라고 말할 시간입니다.|||경태는 자유대한민국의 정상적인 국민이 될 자격이 없다. 먼저 보는 사람이 국민 세금의 주인이듯이|||그의 습관을 바꾸십시오. 자백하고 선처를 구하면 시간이 지날수록 또 무슨 짓을 저지를 것이다. 무조건 법에 따라 더 무거운 처벌을 내리십시오.|||이번 기회에 장경태를 영원히 없애야 한다!|||갈 수 있는 유일한 길은 빵뿐이라고 하더라고요!|||사실입니다.|||엄중한 처벌을 통해 정의로운 법치주의가 건재함을 보여주세요.|||포르노와 보좌관이 짝을 이뤄 한두 번 시도한 기술은 아닌 것 같다.|||푸하하하하하하하하하하하하하하하하하하|||뻔뻔한 장경태는 즉각 납세를 중단하고 입법활동을 중단하라. 재판을 받고 무죄 판결이 나면 돌아오십시오.|||민주당은 성폭력 재판을 위한 별도 법원 설치를 추진할 것으로 보인다.|||솔직하게 말해야 해요. 다음번에 국회의원에 출마하고 싶다면 전과가 없으면 출마할 수 없을 것입니다.|||민주당과 곤경에 처한 양문석 의원은 어떻게 될지 궁금하다.",1
