url,title,channel_name,comment,category
-Lhml3ZZ4Go,안 해봤다면 꼭 해봐야 하는 인기 유료 게임 Top 10 (모바일 게임 추천) - 오프라인 플레이 가능,쏘원TV 게임리뷰,"스타듀밸리 한국사람이 하면 노동게임이 되는 꿀잼게임 ||| 말도 이해하기 쉽고 정리도 되게 잘하셔서 재밌네요 좋은영상 감사해요 ||| 스타듀밸리 안드로이드에 사놨다가 아이폰으로 바꾸면서 다시 깔려고했는데 다시 사야된다네요 ,, 화이팅하세요 ||| 요즘 과금 캐쉬게임에 지쳐서 인지, 맘편하게 돈을 지불하고 컨텐츠를 즐기고 싶은 마음이 드네요. 재미있고, 알찬정보 감사해요~ ||| 공중파 뺨치게 잘 정리해주는 영상이네요 구독박고갑니다 꾸준히 하시면 대기업 되실거같아요",게임
jqCxQ6SIjtk,모바일 무료 갓겜 TOP 18개 추천한다 골라라 (추석지난 추석 특집),지존조세,엥 이거 왜 조회수 72만이나 됨?? 뭐지..; ||| 1:46 아무생각 없이 보다가 물 뿜었어 ㅋㅋㅋ ||| *3:34** ㄹㅇ 핑잘알이네 ㅋㅋㅋㅋㅋㅋ* ||| 9:39조낸 패면 됩니ㄷ ||| 0:42 내가 추천 해준거 해줘서 고마워 형~~,게임
BucX9lcRNhA,기억에 남는 2020년 신규게임 BEST 30 (모바일 게임 추천),쏘원TV 게임리뷰,"항상 새로운 게임을 찾고 싶을때마다 쏘원님 채널 들어와서 보구갑니다. 몇달에 한번씩 올라오는게 아닌 기간별로 정리를해서  다양한 장르와, 그래픽 등 여러 게임을 소개해주시고, 어떠한 요소가 있고, 어떤 유저분들에게 추천하는지까지 영상에 담아주셔서 정말 좋았습니다. 항상 좋은 게임 리뷰 및 추천 감사합니다 쏘원님!! ||| 올 한해 정말 고생많으셨습니다 구독자 몇백몇일떄 부터봤는데 벌써 2만명이시라니 제가 다 기분이 너무 좋네요. 더욱더 흥해서10만 100만 찍었으면 좋겠습니다 축하드립니다!!!! 덕분에 좋은 게임들 많이 알아갑니다! ||| 30개중에 쏘원님추천으로해본게임이 20개정도 그중에 아직까지 제폰에남아있는건 5개  항상 좋은게임설명과 추천덕에 즐거운 게임하고있습니다 감사합니다 ||| Best30에 재밌어보이는게 절반정도 되네요. 나는 왜 저런게임을 못찾는지 모르겠습니다. 임모탈리본이랑 일루전커넥트 재밌어보여요. 다른것들도 많은데 전부플레이할수있는지 모르겠네요. 시간도 되면 야생소년도 해보렵니다. 감사해요 ||| 영상 너무 잘보고 있어요! 쏘원님 영상을 다 정독하거나 예전에 추천했던 게임을 잊어버리곤 하기 때문에 추천했던 게임을 다시 추천하는 것도 좋았구요 ㅎ 영상 초반에 해당 영상의 초점 등을 짤막하게 설명해주셔서 시청하기 편했습니다. 멘트도 너무 좋으시고 꼭 장수하시길 바랍니다. 새해 복많이 받으세요!!^___^ (원래 영상 보고나서 좋아요 버튼을 잘 안누르는데 쏘원님 영상은 잊지 않고 꾹꾹 눌러드릴게요 화이팅!!) (할말이 자꾸 생각나서 댓글이 길어졌네요 ㅜ 암튼 쏘원님 영상이 제가 보고싶었던 내용들입니다 ㄱㅅ요 ㅎㅎ)",게임
rn3WW8GgqzQ,데이터가 필요 없는 오프라인 RPG 게임 Top 8!! (모바일 게임 추천),쏘원TV 게임리뷰,"프롤로그 0:01 제노니아4   AnimA ARPG  Eterminm    Non stop knight                          Hero siege      Heretic Gods                            이전에 소개한 오프라인 게임들 8,7위는 한글 미지원 게임  8위 0:36 Beast Quest  7위 1:42 Battleheart  6위 2:46 뱀파이어의 가을  5위 3:52 Post knight  4위 4:55 stone of Lite  3위 6:04 shadow of Death  2위 7:18 오럼 블레이드  1위 8:27 미스틱 가디언  에필로그 Shadow of Death 미스틱 가디언  으ㅡㅏ아아ㅏ 다했다 저 에에에에에취이이이 였는데 학생 재미있는게임 많이 올려주세요~ ||| 항상 잘보고 있어요!! 도트 그래픽에 노가다 게임 좋아하시면 조오~심스럽게 아이모라는 게임 추천해 드릴게요 이번에 10주년인데 피쳐폰으로도 4년 나왔어서 14년째 된 게임인데 일주일 마다 점검하고 유저도 줄지 않고 이번에 신서버도 나오고 신맵도 나오는 등 이벤트랑은 계속해요 근데 문제는 템이 모바일인것에 비해 조금 비싼편이지만 무과금으로도 충분히 가능하고 레벨업이 조금 어려운정도? 전 4년동안 하고 있고 여러 서버 다 플레이 해봤고여 지금은 이번에 나온 신섭 루나인에서 왕국 유저로 플레이 하고 있어요 그리고 또 좋은점은 왕국 제국 으로 진영이 나뉘어서 반대진영에 막피(묻지마 pk)유저를 잡으러 다니는 재미도 쏠쏠해요(물론 렙이 좀 높아야하지만요.. ㅎㅎ)레벨은 50이 만렙이고 고인물이 두 세달이면 30은 찍는다고 해요 30부터 렙업이 힘들어 지고 튜토리얼도 엉망이긴 하지만 카페에 보면 고인물 유저들이 따로 꿀팁을 적어 놓기도 하고 튜토리얼을 만드는 경우도 있으니 하시기 전에 한번 카페를 보는것도 괜찮은것 같아요!  한줄평으로 말하면 축소형 모바일 메이플이 랄까나...요? ||| 미스틱 가디언... 계속 찾다 기억속에서 사리진.게임인데 드디어 찾았네요.. 감사합니다ㅜㅠㅠ ||| 배틀하트 진짜 대존잼인데 !! 역시 믿고보는 쏘원랭킹! ||| 항 상 잘 보고 있습니다^^ 오늘도 쉐도우 오브 데스라는 겜임을 알고 가네요! 항상 화이팅!",게임
0Wwp2ceV9Vc,2020년 최고의 평가를 받은 인기게임 추천 TOP.20 [PC/PS4/XBOX ONE/SWITCH/VR],삐로,한글인가 아닌가 가 중요한데 그게 안나왔네요 ||| 다한글인가요? ||| 저는 FPS게임의 무료 보고 싶십니다!!!!!저는 삐로 옛날때부터 다 보았습니다 3년 전부터요 ㅠㅠ 스팀 FPS 무료 게임류가 좀더 있었으면 좋겠습니다.그래픽도 좋고 멀티 게임말이예요 ㅠㅠ 저는 FPS게임 좋아하기에 추천해주시면 좋을것 같습니다.,게임
P1tgEUpQVdI,전략 배틀 멀티 게임! 아직 안 해봤다면 강력 추천!! (모바일 게임 추천),쏘원TV 게임리뷰,"크..유튜브 알고리즘이 이런 갓채널을 알려줬네요 ㅋㅋㅋ 알려준 게임중에 캐슬번 재미있게 하고있습니다 ||| 게임리뷰 잘 안보는데 재밌네요! 꾸준히 볼게요. ||| 뭔가 유명세타는게임을 비슷하게해서 자기들만에 유닛만쓰면 그게게임이 되는듯 ||| 영상에서 심혈이 느껴지네요,구독 박았습니다 ||| 진짜 리뷰 짱 재밌어요",게임
EZ8V49ctRCk,"📂 너 이거 해봤니? 집마가 추천한 오픈월드 게임 TOP 7 (가성비, 호불호 편) VOL.1",집마 홀릭,"제목과 썸네일 그리고 인사말에도 언급했지만  명작이 왜 빠졌냐고 하는 분들이 꽤 있어서 적습니다ㅎㅎ  이번편은 호불호나 가성비 작품 위주로 취향만 맞으면 꽤 재밌는 작품만 모아서 만든 영상이며, 보이지 않는 명작들은 앞으로 업로드 예정인 최고의 명작편에 있으니 참고해주세요😉 ||| 데스 스트랜딩은 정말 한번 해보시라고 추천 드립니다.  집마님이 언급 하셨듯 정적이긴 한데 그 정적인 플레이에서 오는 독특함이 있어요. 게임의 메인 테마인 연결이란걸 상기 시키듯 전투시 다른 플레이어들에게 도움 받는것도 인상적이고 무엇보다 스토리와 음악이 정말 발군 입니다. 코지마는 아마 영화를 만들고 싶었던게 아닐까 싶을 정도로 ||| 크... 오픈월드 라는 이 단어 정말 좋아 ㅋㅋㅋㅋ 집마님 감사합니다! ||| 슬리핑독스2 제작이 중간에 엎어져서 진짜안타까울뿐...ㅠ전투가 진짜잼나는대.. ||| 와치독스2를 엄청 재미나게 하는 입장에서 검색하다가 유용하게 리뷰 잘 봤습니다. 잠입 베이스에 총격도 되고 운전도 되서 재밌어요. 갑툭튀 멀티로 숨바꼭질도 웃기고요 ㅋㅋ  운전이 불편한건 맞는데, 뚱뚱한 오토바이는 그래도 뭔가 안정감 있어서 고려합니다.   데스 스트랜딩은 할인해서 구매는 했는데, 1위면 오오 기대됩니다.",게임
F1Apap3Zti4,구글 추천 RPG 갓겜 Top10 (모바일 게임 추천),쏘원TV 게임리뷰,"제가 엄격한 것인지는 모르겠는데, RPG 추천해주시는 것 아닌가요? 추천리스트의 게임들 RPG라 불리기엔 애매한게 대부분인데요. 클리커는 클리커고, 슈팅은 슈팅이죠. 퍼즐은 퍼즐이고요. 성장요소나 수집요소 들어간다고 RPG로 묶습니까? 이런식이면 전세계 대부분의 게임이 RPG겠네요... ||| 폰게임이라 조작성문제 때문인건 알지만 요즘 나오는 RPG나 수집형들 대다수가 전투가 쌍방 각각 진영짜고 마주보고 한대씩 치는 (혹은 자동으로 엉키는) 그런 게임들만 있는데 턴마다 캐릭터 하나씩 위치이동시키고 행동결정 할 수 있는 고전적인 턴제전투 RPG는 요즘은 아예 전멸인건지 궁금해요;; 요즘 이런 게임은 본적이 없어서 그립내요;; 좀 시간 걸려도 지긋이 조종할수 있는 게임은 없는지 궁금해용 ||| 다시 올리셨군요! 영상에서 이상한점이 있길래 댓글 작성하려했더니 비공개로 돌리셨더라구요 ㅎㅎ 오늘 QA직무 최종면접 보고 왔습니다,, 잘됐으면 좋겠어요 ㅎㅎ ||| 이걸 빨리봤어야 했는데...할 게임 없을때 올라오는 쏘원님 영상 너무좋고~",게임
7ro-pCV0P8M,게임추천! 2020년 최고의 게임은? GOTY 수상작을 살펴보자! [올해의게임 2020 Game of the Year],삐로,삐로님 2020년 코로나 때문에 힘드셨을거 같은데 항상 좋은영상 올려주셔셔 감사드리고 2021년에는 더 좋은영상 기대하겠습니다! 삐로님 새해복 많이 받으세요! ||| 용과같이 7이 없다니ㅠㅠ ||| 삐로님도 새해복 많이 받으시요 그리고 2021년에도 화이팅! ||| 와ㅏㅏ!! ||| 곰돌이 귀엽다,게임
5ooxieJ4XI0,SNG [소셜 네트워크 게임] Top 9 - (모바일 게임 추천),쏘원TV 게임리뷰,모바일 게임 리뷰어 중에서 영상 퀄리티가 최고인것 같아요 매번 잘 보고 있습니다! :) ||| 영상 만드신다고 고생이 많습니다~ 오늘도 좋은 게임 추천해주셔서 감사합니다 ||| 판타지 타운 저도 굉장히 재밌게 한 게임이였는데 영상에 나와서 반갑네요 ~! 아기자기하고 좋더라구요 ||| 9위 0:34 Fantasy Forge  8위 1:37 롤러코스터 타이쿤4 M 7위 2:44 꿈의 마을 6위 3:46 심시티빌드잇 5위 4:47 마이카페 4위 5:50 타운스테일(작자가 하다가 힘들어서 때려침ㅠ) 3위 6:55 놀러와 마이홈♥ 2위 8:00 문명의 기원(수정된 이름) ★1위☆ [9:08] 판타지타운  저번에 추천해주셨던 명탐정 S 재미있게 플레이하고 있습니다 ㅎ 항상 재밌는 게임 추천 감사합니다^^ ||| 흐어ㅓㅓ 요즘 딱 이런거 하고싶었는데 역시 믿고 보는 겜추천 유뜌바 쏘원 감사합니다,게임
