url,title,channel_name,comment, label
-Z-bgUt5ilA,7세용 게임 난이도 수준 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅁㅊ,혜안,🤔 https://youtu.be/5q7hSUY-zSw ||| 7살때부터 동체시력 키우는 게임강국 수준이란ㅋㅋㅋㅋ ||| ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 웃겨 죽겠네 근데 혜안 반응이 더 웃김ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅠ ||| ㅋㅋㅋㅋㅋㅋ초등학교 입학시키기 전에 훈련시키넼ㅋㅋㅋㅋㅋㅋㅋㅋ 해내야 이겨낼 수 있다 ||| 이게 원래 뚱뚱이 CRT모니터 쓰던 시절에는 속도가 느렸는데 시대가 변하면서 LCD모니터를 쓰고 소프트웨어가 진화하면서 자연히 속도도 진화하게 된거라고 알고있음ㅋㅋㅋㅋㅋㅋㅋㅋ,게임
rDUNHqKV1ys,띠동갑 남매가 노는 법 #쎄쎄쎄 #shorts [민쩌미],민쩌미,왜케잘하세요??ㅋ❤❤❤ ||| 너무잘한다🎉😂 ||| 진짜 잘한다 ||| 소리 찰지다 ㅋㅋ ||| 마지막에 와아아악!! 이러는거 졸귀ㅠㅠㅠㅠㅠㅠㅠ,게임
ipjcHW2mMAI,여친 눈앞에서 바람난 남친?!! 야!!!【쁘허】,쁘허,원본 영상 https://youtu.be/Pz3tFnh5yd4 ||| 커엽다.. 이 커플은 언제봐도 달달구리 사랑스럽다.. ||| 쁘허님 너무 귀여우신거 아닌가요ㅋㅋ♡ ||| 뒤로 손잡는 펭귄들 왜 이렇게 귀여운데 ㅋㅋㅋ ||| 두분 넘 귀여우세용 💕💕 역시 달달한 ❤️💙 태쁘커플~~,게임
Ja1PejZiyQw,스타 인생 20년차도 놀란 버그,[Hotube] 이재호 유튜브,말 잃은 게 존나 웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ||| 팩토리 초기에 탱크 부품 다 받고 제조 시작한다는 사실이 알려짐 ㅋㅋㅋㅋㅋ ||| 버그까지 포함해서 빌드를 다시 최적화했넼ㅋㅋㅋㅋㅋ ||| 저거 실전에서 쓰는 사람이 있네 ㄷㄷ ||| 와 저 버그 진짜 오랜만에 본다 ㄷㄷ,게임
a0jtTDCH68c,김태희vs최일구,장삐쭈,"Full영상 [신병] 시즌0 完: https://youtu.be/zT5lUeur_ak [신병] 김태희: https://youtu.be/mSrFd-_2ByE ||| 헬창 선임, 잘생긴 선임, 부자집 선임, 부산출신 깡패선임 이렇게는 꼭 있음ㅋㅋㅋㅋㅋㅋㅋㅋ ||| 아 이 장면이랑 대조시킨거구나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ||| ㅠㅠㅠㅠㅠㅠ 온도차이뭐냐고 ㅋㅋㅋㅋㅋㅋ ||| 난 훈련병때 조교 옥택연이였고 불침번 대기할때 새벽2시에 자다깨서 진심 ㅈㄹ 졸린데 바로앞에서 옥택연 책보고있었고 진심 너무 잘생겨서 잠이 다 깨버렸었음.. 2분정도를 무슨 유니콘 마냥 넉놓고 봤다..최일구랑 똑같은말함 “와… 존 나 잘생겼다..“",게임
NrD8J_PSfMk,1660살 연상을 만난 침착맨 #shorts,LookSam,"풀영상 링크 ▼ https://www.youtube.com/watch?v=6qu9u7qebrk&t=160s ||| 바로 야 착맨아랑 예 누나 박는거 개웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ||| ""말 놔요 저 마흔 살밖에 안 돼요""ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ||| 침착맨 감당 못하겠어서 룩삼 흘끗흘끗 보는거 개웃기네ㅋㅋㅋㅋㅋㅋ ||| 말놔요가 웃겨 뒤질것같음 ㅋㅋㅋ",게임
LiAx-W2agqk,킹받는 게임광고 특징 3탄 #Shorts,겜브링 GGAM BRING,저러고 이제 게임 고수가 되고 싶으면 이걸해보세요! 이럼ㅋㅋㅋㅋ ||| 그시절 겜브링 추억도 있지만 초심을 잃었다기보단 더 텐션도 높아지고 재밌어요 ||| 아니 마지막 뭔데ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개웃기네ㅋㅋㅋㅋㅋㅋ ||| 아니 진짜 인줄 알았으면 왜 그렇게 잡았냐고ㅋㅋㅋㅋㅋ ||| 안경까지 킹받네 진짜ㅋㅋㅋㅋ,게임
mS0PzMu_4JQ,남친이 하지 말라고 하는거 다 해보고 반응보기ㅋㅋ【쁘허】,쁘허,"사랑스러운 커플 ||| 역시 애교가 넘치시는 뿨님 ㅋㅋ😅😅 ||| 태경님은 행복하시겠어요 저렇게 애교많고 사랑스러운 여자친구와  같이 살고있으시니 ㅎㅎㅎㅎ 참 부럽네... ||| 깐족거리는것도 짱기엽네여 ㅠㅠㅠㅠ ㅎㅎ ||| 쇼츠 내리다 알고리즘에 뜨길래 추억돋아서 쇼츠 정주행 했습니다,,,지금도 예전처럼 풋풋하고 보기 좋아서 보는 내내 웃으면서 봤네요🥺 예쁜사랑 오래오래 하세요!!❤",게임
INJK1mLVJFc,짭현영VS짭츄 애교 배틀 [민쩌미],민쩌미,후후.. 심기가 불편하셨다면 심심한 사과말씀 전합니댜☄️ㅋㅋㅋㅋㅋ 풀영상 https://youtu.be/d2a44WtWpyc ||| 썸네일 보고 진짜 라디오스타에 나오신줄 알았음ㅋㅋ ||| 저거 츄님이랑 그 (우영우에) 동그라미님 애교대결 따라한건데 넘 귀여워ㅠㅠ ||| ㅋㅋㅋㅋ 너무 귀엽네요  근데 나중에 현타오지 않았는지 궁금합니당 오늘 수행평가가 있었는데...이 민쩌미님 영상은 놓칠수 없네요 앞으로도 좋은 하루 되실길~~❤❤ ||| 와...연기 엄청 잘하시다!,게임
jyG4fJybw5M,어디선가 들어본 게임 오프닝ㅋㅋㅋ,왈도쿤,"장마군은 진짜 천부적인 방송재능이다 진짜 ㅋㅋㅋㅋㅋㅋ ||| 저런 친구가 ㄹㅇ 개꿀잼이지ㅋㅋㅋㅋㅋㅋ ||| 이집 광고 잘하네ㅋㅋㅋㅋ ||| 아 진짜 저 말투,목소리톤만 들어도 재밌다ㅋㅋㅋㅋㅋㅋ ||| 자막으로 보면 천박한데 영어로 진지하게 말하니까 뭔가 쥰내 멋있어보임ㅋㅋㅋㅋㅋㅋ",게임
