url,index,error_msg,ans1,ans2
UTa-2jhS9fY,3,timed out,"{
  ""content_tone"": 2,
  ""intent"": ""대통령실의 6개월 성과를 3실장 및 수석비서관과 함께 실시간으로 논의하고 전달하는 것"",
  ""key_entities"": [""대통령실"", ""3실장"", ""수석비서관""],
  ""confidence_score"": 0.9
}",Didn't Answered
FaB7QDm3wz8,5,timed out,"{
  ""content_tone"": 3,
  ""intent"": ""Lee Jae-myung announces a major transformation of land and space policy to expand Korea's use, presented to the Local Era Committee."",
  ""key_entities"": [""이재명"", ""지방시대위원회""],
  ""confidence_score"": 0.9
}",Didn't Answered
QnGUCpCf-1g,15,timed out,"{
  ""content_tone"": 3,
  ""intent"": ""Lee Jae-myung's promotion of strong local autonomy and balanced growth policies"",
  ""key_entities"": [],
  ""confidence_score"": 0.7
}",Didn't Answered
Tsvc5cUUiFE,71,timed out,"{
  ""content_tone"": 4,
  ""intent"": ""INSUFFICIENT"",
  ""key_entities"": [],
  ""confidence_score"": 0.2
}",Didn't Answered
SO1vNnYUil4,75,timed out,"{
  ""content_tone"": 3,
  ""intent"": ""KOSPI index reaching 5000"",
  ""key_entities"": [""KOSPI""],
  ""confidence_score"": 0.9
}",Didn't Answered
Y-M3KKZnMMI,84,timed out,"{
  ""content_tone"": 4,
  ""intent"": ""INSUFFICIENT"",
  ""key_entities"": [],
  ""confidence_score"": 0.4
}",Didn't Answered
jIQKO6-LGlA,90,timed out,"{
  ""content_tone"": 4,
  ""intent"": ""INSUFFICIENT"",
  ""key_entities"": [""트럼프""],
  ""confidence_score"": 0.5
}",Didn't Answered
0Vj7k4_L6bc,91,timed out,"{
  ""content_tone"": 6,
  ""intent"": ""INSUFFICIENT"",
  ""key_entities"": [],
  ""confidence_score"": 0.2
}",Didn't Answered
z6Xg0GgFOzw,130,timed out,"{
  ""content_tone"": 1,
  ""intent"": ""Exploring the concept of beginners' luck in investing and questioning whether it truly exists."",
  ""key_entities"": [],
  ""confidence_score"": 0.7
}",Didn't Answered
aEjbrvWuWwM,157,timed out,"{  
  ""content_tone"": 4,  
  ""intent"": ""Provide legal commentary on recent judicial controversies, including the national judges meeting, the anger of judges at the '내란재판부', the legal aspects of Jang Kyung-tae's sexual assault scandal, and questioning the adequacy of the special prosecutor's actions."",  
  ""key_entities"": [""양은경"", ""전국법원장 회의"", ""내란재판부"", ""장경태"", ""특검""],  
  ""confidence_score"": 0.85  
}",Didn't Answered
MBT4XkJuHFo,178,timed out,Didn't Answered,"{
  ""recovered_intent"": ""특검 영장 기각률이 평균보다 두 배 이상 높아 특검의 적절성에 대한 의문을 제기"",
  ""comment_tone"": 5,
  ""is_contaminated"": false,
  ""context_bridge"": ""영상은 특검 영장 기각률에 대한 의문을 제기하며, 댓글은 정론을 응원하는 긍정적 반응을 보임."",
  ""representative_comments"": [
    ""정론에 응원합니다😅"",
    ""특검이 필요 없다고 생각해"",
    ""영장 기각률이 높아도 특검은 정당한"",
    ""특검이 부당하다"",
    ""특검이 필요한 이유를 설명해줘""
  ]
}"
FIAFLyltrbc,196,timed out,"{
  ""content_tone"": 2,
  ""intent"": ""INSUFFICIENT"",
  ""key_entities"": [],
  ""confidence_score"": 0.3
}",Didn't Answered
jQVdlA5N2NM,211,timed out,"{
  ""content_tone"": 7,
  ""intent"": ""Park Na-rae's injection services are illegal, even if she has a Nobel Prize in Medicine."",
  ""key_entities"": [""함익병"", ""박나래""],
  ""confidence_score"": 0.8
}",Didn't Answered
NYb9RQRm0i0,229,timed out,"{
  ""content_tone"": 4,
  ""intent"": ""전재수와의 직접 통화 결과를 전달하고, 그가 말한 '세상에 별일이 다 있네'라는 반응을 공유"",
  ""key_entities"": [""전재수""],
  ""confidence_score"": 0.85
}",Didn't Answered
78lPhTg8VlU,235,timed out,"{  
  ""content_tone"": 4,  
  ""intent"": ""박정훈이 한동훈 딸의 이름 공개를 인권 유린이라고 비판하는 내용 전달"",  
  ""key_entities"": [""박정훈"", ""한동훈""],  
  ""confidence_score"": 0.9  
}",Didn't Answered
Xf0anmqQ_H8,259,timed out,"{
  ""content_tone"": 6,
  ""intent"": ""Lee Won-seok's betrayal while colluding with Seong Sang-nab"",
  ""key_entities"": [""이원석"", ""성상납""],
  ""confidence_score"": 0.85
}",Didn't Answered
9-FwewAbMXs,269,timed out,"{
  ""content_tone"": 6,
  ""intent"": ""Kim Seong-tae's major scandal or wrongdoing is being exposed in a live news segment"",
  ""key_entities"": [""김성태""],
  ""confidence_score"": 0.9
}",Didn't Answered
3UEUR8qQ4_s,277,timed out,"{
  ""content_tone"": 5,
  ""intent"": ""INSUFFICIENT"",
  ""key_entities"": [""문재인""],
  ""confidence_score"": 0.3
}",Didn't Answered
sUtrX3jLgh4,292,timed out,"{
  ""content_tone"": 2,
  ""intent"": ""Former President Park Geun-hye has abandoned her support for Han Dong-hoon."",
  ""key_entities"": [""박근혜"", ""한동훈""],
  ""confidence_score"": 0.9
}",Didn't Answered
z3KFsamDAek,296,timed out,"{
  ""content_tone"": 8,
  ""intent"": ""Report that Lee Jae-myung is an accomplice in a wrongdoing and is in danger, urging help."",
  ""key_entities"": [""이재명""],
  ""confidence_score"": 0.85
}",Didn't Answered
dyB8iqRbYIU,298,timed out,"{{
  ""content_tone"": 6,
  ""intent"": ""Expose the list of 선대위 associated with Han Dong-hoon"",
  ""key_entities"": [""한동훈""],
  ""confidence_score"": 0.9
}}",Didn't Answered
b310nCmslKA,393,timed out,"{
  ""content_tone"": 9,
  ""intent"": ""To warn viewers that Lee Jae‑myung is dangerous and that rebellion is now possible, encouraging opposition."",
  ""key_entities"": [""김어준"", ""이재명""],
  ""confidence_score"": 0.85
}",Didn't Answered
bd6K7Uteu0s,406,timed out,"{
  ""content_tone"": 9,
  ""intent"": ""Han Deok-soo will be imprisoned for treason and possibly executed."",
  ""key_entities"": [""김어준"", ""한덕수""],
  ""confidence_score"": 0.8
}",Didn't Answered
RNROi_1IqUQ,431,timed out,"{
  ""content_tone"": 3,
  ""intent"": ""To present a special episode about the general election, focusing on Lee Hae-chan and discussing aspects of his background such as family and property."",
  ""key_entities"": [""이해찬"", ""더불어""],
  ""confidence_score"": 0.6
}",Didn't Answered
4RPwedjxEvE,448,timed out,"{
  ""content_tone"": 4,
  ""intent"": ""Singer Lee Jung-seok's defense of Cho Jin-woong and critique of critics."",
  ""key_entities"": [""조진웅"", ""이정석""],
  ""confidence_score"": 0.8
}",Didn't Answered
uufFVGZSl-M,460,timed out,"{
  ""content_tone"": 3,
  ""intent"": ""국민힘이 계엄시대 사과를 진행하고 현역 지자체장이 참여한 사실을 전달"",
  ""key_entities"": [""국민힘"", ""지자체장""],
  ""confidence_score"": 0.9
}",Didn't Answered
Evu9WK_fVXc,498,timed out,"{
  ""content_tone"": 5,
  ""intent"": ""reporting on the controversy that emerged after the confirmation of staying in Ulsan, involving allegations of assault and a statement about Seunghyun being a disciple"",
  ""key_entities"": [""승현이"", ""울산""],
  ""confidence_score"": 0.7
}",Didn't Answered
