--- Phase 2 미세 조정 시작 (Device: cuda) ---
Epoch 1 | Train Loss: 0.9139 | Train Acc: 0.6366 | Val Loss: 0.9573 | Val Acc: 0.5850
Epoch 2 | Train Loss: 0.9051 | Train Acc: 0.6356 | Val Loss: 0.9550 | Val Acc: 0.5810
Epoch 3 | Train Loss: 0.9156 | Train Acc: 0.6218 | Val Loss: 0.9511 | Val Acc: 0.5968
Epoch 4 | Train Loss: 0.9074 | Train Acc: 0.6238 | Val Loss: 0.9486 | Val Acc: 0.5850
Epoch 5 | Train Loss: 0.8779 | Train Acc: 0.6366 | Val Loss: 0.9539 | Val Acc: 0.5889
Epoch 6 | Train Loss: 0.8835 | Train Acc: 0.6446 | Val Loss: 0.9537 | Val Acc: 0.5731
Epoch 7 | Train Loss: 0.8803 | Train Acc: 0.6396 | Val Loss: 0.9525 | Val Acc: 0.5850
Epoch 8 | Train Loss: 0.8884 | Train Acc: 0.6396 | Val Loss: 0.9518 | Val Acc: 0.5889
Epoch 9 | Train Loss: 0.8826 | Train Acc: 0.6347 | Val Loss: 0.9537 | Val Acc: 0.5810
Epoch 10 | Train Loss: 0.8915 | Train Acc: 0.6446 | Val Loss: 0.9518 | Val Acc: 0.5889
Epoch 11 | Train Loss: 0.8958 | Train Acc: 0.6366 | Val Loss: 0.9509 | Val Acc: 0.5850
Epoch 12 | Train Loss: 0.8703 | Train Acc: 0.6495 | Val Loss: 0.9541 | Val Acc: 0.5652
Epoch 13 | Train Loss: 0.8800 | Train Acc: 0.6465 | Val Loss: 0.9511 | Val Acc: 0.5850
Epoch 14 | Train Loss: 0.8705 | Train Acc: 0.6495 | Val Loss: 0.9532 | Val Acc: 0.5692
Epoch 15 | Train Loss: 0.8888 | Train Acc: 0.6446 | Val Loss: 0.9497 | Val Acc: 0.5929
Epoch 16 | Train Loss: 0.8841 | Train Acc: 0.6347 | Val Loss: 0.9517 | Val Acc: 0.5889
Epoch 17 | Train Loss: 0.8826 | Train Acc: 0.6356 | Val Loss: 0.9508 | Val Acc: 0.5889
Epoch 18 | Train Loss: 0.8847 | Train Acc: 0.6515 | Val Loss: 0.9520 | Val Acc: 0.5889
Epoch 19 | Train Loss: 0.8891 | Train Acc: 0.6307 | Val Loss: 0.9577 | Val Acc: 0.5850
Epoch 20 | Train Loss: 0.8759 | Train Acc: 0.6515 | Val Loss: 0.9500 | Val Acc: 0.6008
Epoch 21 | Train Loss: 0.8809 | Train Acc: 0.6396 | Val Loss: 0.9483 | Val Acc: 0.5850
Epoch 22 | Train Loss: 0.8964 | Train Acc: 0.6485 | Val Loss: 0.9513 | Val Acc: 0.6008
Epoch 23 | Train Loss: 0.8983 | Train Acc: 0.6376 | Val Loss: 0.9575 | Val Acc: 0.5810
Epoch 24 | Train Loss: 0.8835 | Train Acc: 0.6416 | Val Loss: 0.9573 | Val Acc: 0.5850
Epoch 25 | Train Loss: 0.8838 | Train Acc: 0.6267 | Val Loss: 0.9590 | Val Acc: 0.5810
Epoch 26 | Train Loss: 0.8835 | Train Acc: 0.6327 | Val Loss: 0.9477 | Val Acc: 0.5889
Epoch 27 | Train Loss: 0.8901 | Train Acc: 0.6436 | Val Loss: 0.9535 | Val Acc: 0.5771
Epoch 28 | Train Loss: 0.8768 | Train Acc: 0.6465 | Val Loss: 0.9491 | Val Acc: 0.5850
Epoch 29 | Train Loss: 0.8676 | Train Acc: 0.6505 | Val Loss: 0.9431 | Val Acc: 0.6047
⭐️ [갱신] 최고 정확도: 0.6047
Epoch 30 | Train Loss: 0.8657 | Train Acc: 0.6594 | Val Loss: 0.9496 | Val Acc: 0.5810
Epoch 31 | Train Loss: 0.8814 | Train Acc: 0.6564 | Val Loss: 0.9531 | Val Acc: 0.5889
Epoch 32 | Train Loss: 0.8773 | Train Acc: 0.6505 | Val Loss: 0.9511 | Val Acc: 0.5810
Epoch 33 | Train Loss: 0.8745 | Train Acc: 0.6307 | Val Loss: 0.9510 | Val Acc: 0.5889
Epoch 34 | Train Loss: 0.8798 | Train Acc: 0.6337 | Val Loss: 0.9503 | Val Acc: 0.5850
Epoch 35 | Train Loss: 0.8853 | Train Acc: 0.6218 | Val Loss: 0.9504 | Val Acc: 0.5889
Epoch 36 | Train Loss: 0.8894 | Train Acc: 0.6376 | Val Loss: 0.9472 | Val Acc: 0.6008
Epoch 37 | Train Loss: 0.8766 | Train Acc: 0.6376 | Val Loss: 0.9538 | Val Acc: 0.5850
Epoch 38 | Train Loss: 0.8576 | Train Acc: 0.6604 | Val Loss: 0.9566 | Val Acc: 0.5810
Epoch 39 | Train Loss: 0.8704 | Train Acc: 0.6535 | Val Loss: 0.9500 | Val Acc: 0.5929
Epoch 40 | Train Loss: 0.8984 | Train Acc: 0.6347 | Val Loss: 0.9524 | Val Acc: 0.5810
Epoch 41 | Train Loss: 0.8905 | Train Acc: 0.6376 | Val Loss: 0.9525 | Val Acc: 0.6008
Epoch 42 | Train Loss: 0.8727 | Train Acc: 0.6525 | Val Loss: 0.9505 | Val Acc: 0.5968
Epoch 43 | Train Loss: 0.8800 | Train Acc: 0.6317 | Val Loss: 0.9553 | Val Acc: 0.5929
Epoch 44 | Train Loss: 0.8596 | Train Acc: 0.6525 | Val Loss: 0.9481 | Val Acc: 0.5929
Epoch 45 | Train Loss: 0.8784 | Train Acc: 0.6366 | Val Loss: 0.9503 | Val Acc: 0.5929
Epoch 46 | Train Loss: 0.9031 | Train Acc: 0.6307 | Val Loss: 0.9499 | Val Acc: 0.5850
Epoch 47 | Train Loss: 0.8704 | Train Acc: 0.6584 | Val Loss: 0.9500 | Val Acc: 0.5929
Epoch 48 | Train Loss: 0.8930 | Train Acc: 0.6505 | Val Loss: 0.9501 | Val Acc: 0.5810
Epoch 49 | Train Loss: 0.8943 | Train Acc: 0.6406 | Val Loss: 0.9504 | Val Acc: 0.5850
Epoch 50 | Train Loss: 0.8854 | Train Acc: 0.6505 | Val Loss: 0.9513 | Val Acc: 0.5850
Epoch 51 | Train Loss: 0.8853 | Train Acc: 0.6426 | Val Loss: 0.9496 | Val Acc: 0.5889
Epoch 52 | Train Loss: 0.8762 | Train Acc: 0.6554 | Val Loss: 0.9535 | Val Acc: 0.5929
Epoch 53 | Train Loss: 0.8670 | Train Acc: 0.6396 | Val Loss: 0.9500 | Val Acc: 0.5850
Epoch 54 | Train Loss: 0.8715 | Train Acc: 0.6475 | Val Loss: 0.9573 | Val Acc: 0.5810
Epoch 55 | Train Loss: 0.8699 | Train Acc: 0.6535 | Val Loss: 0.9479 | Val Acc: 0.5850
Epoch 56 | Train Loss: 0.8673 | Train Acc: 0.6465 | Val Loss: 0.9466 | Val Acc: 0.5968
Epoch 57 | Train Loss: 0.8663 | Train Acc: 0.6475 | Val Loss: 0.9481 | Val Acc: 0.5889
Epoch 58 | Train Loss: 0.8759 | Train Acc: 0.6376 | Val Loss: 0.9507 | Val Acc: 0.5889
Epoch 59 | Train Loss: 0.8752 | Train Acc: 0.6416 | Val Loss: 0.9538 | Val Acc: 0.5850
